city,address,rating,lat,lon
Абакан,"Абаканская ул., 61, Минусинск","4,4",53.688185,91.662079
Абакан,"Спортивная ул., 2, рабочий посёлок Усть-Абакан","4,4",53.81768,91.404577
Абакан,"просп. Дружбы Народов, 2, Абакан","4,5",53.736379,91.440342
Абакан,"просп. Дружбы Народов, 27, Абакан","4,5",53.73929,91.429124
Абакан,"ул. Пушкина, 50, Абакан","4,5",53.718545,91.4546
Абакан,"ул. Стофато, 12А, Абакан","4,4",53.698256,91.401604
Абакан,"ул. Чертыгашева, 102, Абакан","4,6",53.72567,91.448261
Азов,"Петровский бул., 7, Азов","4,7",47.110514,39.421508
Азов,"ул. Васильева, 89, Азов","4,5",47.104022,39.409248
Азов,"ул. Кондаурова, 63, Азов","4,3",47.09518,39.431034
Азов,"ул. Ленина, 68, Азов","4,4",47.105548,39.426207
Александров,"Октябрьская ул., 2, Александров","4,0",56.395414,38.703594
Александров,"Советский пер., 1А, Александров","4,7",56.399343,38.728633
Александров,"ул. Ческа-Липа, 10, Александров","4,7",56.382696,38.714361
Алексин,"Арматурная ул., 14, Алексин","3,1",54.519861,37.046836
Алексин,"Тульская ул., 129, Алексин","4,4",54.510239,37.114112
Алексин,"ул. 50 лет Октября, 16, Алексин","4,4",54.525483,37.082715
Алексин,"ул. Ленина, 15, Алексин","4,5",54.502194,37.068234
Альметьевск,"Советская ул., 153А, Альметьевск","4,6",54.911683,52.324505
Альметьевск,"ул. Гафиатуллина, 8, Альметьевск","4,4",54.906389,52.281484
Альметьевск,"ул. Ленина, 117, Альметьевск","4,5",54.898247,52.27121
Альметьевск,"ул. Ленина, 122, Альметьевск","4,5",54.903372,52.261621
Альметьевск,"ул. Ленина, 16, Альметьевск","4,6",54.904536,52.30709
Альметьевск,"ул. Ленина, 1А, Альметьевск","4,3",54.903859,52.314914
Альметьевск,"ул. Ленина, 201, Альметьевск","4,8",54.906757,52.251748
Амурск,"Лесная ул., 1, Амурск","4,5",50.21566,136.90089
Амурск,"Октябрьский просп., 3, Амурск","4,4",50.23692,136.90481
