,ID,name,address,website,ypage,lat,lon,rating,phone,social,opening_hours.mon,opening_hours.tue,opening_hours.wed,opening_hours.thu,opening_hours.fri,opening_hours.sat,opening_hours.sun
0,108842531028,Банк ВТБ,"ул. Бахрушина, 32, стр. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/108842531028/?ll=37.637083%2C55.731952&z=16,55.731952,37.637083,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,выходной,выходной
1,115970153357,Банк ВТБ,"Красная площадь, 3, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/115970153357/?ll=37.621408%2C55.754740&z=16,55.754740,37.621408,"3,9",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00
2,58126187224,Банк ВТБ,"Марксистская ул., 5, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/58126187224/?ll=37.663953%2C55.737182&z=16,55.737182,37.663953,"4,3",['8 (800) 200-77-99Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-17:00,выходной
3,1269903998,Банк ВТБ,"Воронцовская ул., 43, стр. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1269903998/?ll=37.665201%2C55.732909&z=17,55.732909,37.665201,"4,4",['8 (800) 200-77-99Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,выходной,выходной
4,1065477601,Банк ВТБ,"Автозаводская ул., 6, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1065477601/?ll=37.661042%2C55.709449&z=16,55.709449,37.661042,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-15:00,выходной
5,235337541767,Банк ВТБ,"Люсиновская ул., 72, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/235337541767/?ll=37.621840%2C55.713700&z=16,55.713700,37.621840,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
6,1494695036,Банк ВТБ,"бул. Энтузиастов, 2, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1494695036/?ll=37.682619%2C55.746482&z=16,55.746482,37.682619,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,выходной,выходной
7,1018823642,Банк ВТБ,"Мясницкая ул., 35, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1018823642/?ll=37.638081%2C55.766046&z=16,55.766046,37.638081,"4,2",['8 (800) 200-77-99Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",выходной,выходной,выходной,выходной,выходной,выходной,выходной
8,4591086156,Банк ВТБ,"Зубовский бул., 27, стр. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/4591086156/?ll=37.588889%2C55.736858&z=16,55.736858,37.588889,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,выходной,выходной
9,220673277256,Банк ВТБ,"Авиамоторная ул., 10, корп. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/220673277256/?ll=37.715246%2C55.754259&z=16,55.754259,37.715246,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,выходной
10,1010681681,Банк ВТБ,"ул. Большая Полянка, 30, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1010681681/?ll=37.618866%2C55.734202&z=16,55.734202,37.618866,"4,2",['8 (800) 200-77-99Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
11,1081597905,Банк ВТБ,"ул. Земляной Вал, 27, стр. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1081597905/?ll=37.658293%2C55.759036&z=16,55.759036,37.658293,"4,1",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-15:00,выходной
12,112742912522,Банк ВТБ,"Мытная ул., 7, стр. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/112742912522/?ll=37.618570%2C55.722142&z=16,55.722142,37.618570,"4,2",['8 (800) 500-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,выходной,выходной
13,117095934626,Банк ВТБ,"просп. Андропова, 30, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/117095934626/?ll=37.662435%2C55.679139&z=16,55.679139,37.662435,"4,0",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-17:00,выходной
14,29783571280,Банк ВТБ,"Пресненская наб., 10, стр. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/29783571280/?ll=37.535475%2C55.748914&z=16,55.748914,37.535475,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,выходной,выходной
15,1437293025,Банк ВТБ,"Варшавское ш., 26, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1437293025/?ll=37.621947%2C55.684503&z=16,55.684503,37.621947,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
16,27133499164,Банк ВТБ,"Пушечная ул., 5, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/27133499164/?ll=37.621983%2C55.760996&z=16,55.760996,37.621983,"4,1",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
17,1130286215,Банк ВТБ,"3-я Фрунзенская ул., 9, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1130286215/?ll=37.576824%2C55.721240&z=16,55.721240,37.576824,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,выходной,выходной
18,1033745759,Банк ВТБ,"Садовая-Триумфальная ул., 4/10, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1033745759/?ll=37.599193%2C55.770431&z=16,55.770431,37.599193,"4,3",['8 (800) 500-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
19,1327391199,Банк ВТБ,"Люблинская ул., 4, корп. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1327391199/?ll=37.729925%2C55.707841&z=16,55.707841,37.729925,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
20,7128644451,Банк ВТБ,"Спартаковская ул., 17, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/7128644451/?ll=37.676313%2C55.772882&z=16,55.772882,37.676313,"4,1",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,выходной,выходной
21,65217920821,Банк ВТБ,"Новослободская ул., 41, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/65217920821/?ll=37.596866%2C55.783393&z=16,55.783393,37.596866,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
22,1319804464,Банк ВТБ,"ул. Воздвиженка, 9, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1319804464/?ll=37.604753%2C55.752592&z=16,55.752592,37.604753,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,выходной,выходной
23,1070033100,Банк ВТБ,"Семёновская площадь, 7, корп. 17, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1070033100/?ll=37.721301%2C55.783610&z=16,55.783610,37.721301,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-17:00,выходной
24,72023112309,Банк ВТБ,"Новая Басманная ул., 37А, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/72023112309/?ll=37.669082%2C55.769970&z=16,55.769970,37.669082,"4,1",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
25,11536838795,Банк ВТБ,"ул. Кузнецкий Мост, 17, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/11536838795/?ll=37.624812%2C55.762247&z=16,55.762247,37.624812,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,выходной,выходной
26,1255057274,Банк ВТБ,"просп. Мира, 41, стр. 2, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1255057274/?ll=37.632637%2C55.781616&z=16,55.781616,37.632637,"4,1",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
27,25664524981,Банк ВТБ,"площадь Победы, 1, корп. Б, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/25664524981/?ll=37.519539%2C55.735596&z=16,55.735596,37.519539,"4,3",['8 (800) 200-77-99Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-17:00,выходной
28,1057066856,Банк ВТБ,"4-й Лесной пер., 4, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1057066856/?ll=37.586931%2C55.779069&z=16,55.779069,37.586931,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
29,74709651787,Банк ВТБ,"ул. Арбат, 51, стр. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/74709651787/?ll=37.586689%2C55.747784&z=16,55.747784,37.586689,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
30,1086135893,Банк ВТБ,"Тверская ул., 8, корп. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1086135893/?ll=37.609640%2C55.762120&z=16,55.762120,37.609640,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,выходной,выходной
31,154867663938,Банк ВТБ,"просп. Мира, 97, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/154867663938/?ll=37.636338%2C55.809105&z=16,55.809105,37.636338,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-17:00,выходной
32,17240174828,Банк ВТБ,"Большая Никитская ул., 33, стр. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/17240174828/?ll=37.595582%2C55.757075&z=16,55.757075,37.595582,"4,2",['8 (800) 200-77-99Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
33,1420832132,Банк ВТБ,"ул. Земляной Вал, 52/16с1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1420832132/?ll=37.655131%2C55.748949&z=16,55.748949,37.655131,"4,1",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
34,1270083581,Банк ВТБ,"Звенигородское ш., 18/20к1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1270083581/?ll=37.556118%2C55.764324&z=16,55.764324,37.556118,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
35,1531857223,Банк ВТБ,"Нахимовский просп., 11, корп. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1531857223/?ll=37.605400%2C55.663512&z=16,55.663512,37.605400,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
36,1073336641,Банк ВТБ,"ул. Большая Лубянка, 16, стр. 1, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1073336641/?ll=37.628847%2C55.762936&z=16,55.762936,37.628847,"4,4",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,выходной,выходной
37,1759951598,Банк ВТБ,"ул. Красная Пресня, 11, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1759951598/?ll=37.572325%2C55.761188&z=16,55.761188,37.572325,"4,2",['8 (800) 500-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
38,57803806217,Банк ВТБ,"Кантемировская ул., 47, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/57803806217/?ll=37.656182%2C55.637799&z=16,55.637799,37.656182,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,выходной
39,1394732712,Банк ВТБ,"Неглинная ул., 14, стр. 1А, Москва",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1394732712/?ll=37.620393%2C55.764273&z=16,55.764273,37.620393,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
