,ID,name,address,website,ypage,lat,lon,rating,phone,social,opening_hours.mon,opening_hours.tue,opening_hours.wed,opening_hours.thu,opening_hours.fri,opening_hours.sat,opening_hours.sun
0,1320384166,Банк ВТБ,"ул. Ленина, 66, Пермь",,https://yandex.ru/maps/org/bank_vtb/1320384166/?ll=56.229129%2C58.008943&z=16,58.008943,56.229129,"4,1",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-17:00,выходной
1,1653124796,Банк ВТБ,"Сибирская ул., 53, Пермь",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1653124796/?ll=56.254704%2C58.003980&z=16,58.003980,56.254704,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-17:00,выходной
2,7287762967,Банк ВТБ,"ул. Ленина, 22А, Пермь",vtb.ru,https://yandex.ru/maps/org/bank_vtb/7287762967/?ll=56.251111%2C58.014536&z=16,58.014536,56.251111,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,выходной,выходной
3,145100560806,Банк ВТБ,"бул. Гагарина, 26, Пермь",vtb.ru,https://yandex.ru/maps/org/bank_vtb/145100560806/?ll=56.278761%2C58.012262&z=16,58.012262,56.278761,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-15:00,выходной
4,1038868799,Банк ВТБ,"ул. Мира, 26, Пермь",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1038868799/?ll=56.196493%2C57.981650&z=16,57.981650,56.196493,"4,1",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,выходной,выходной
5,1296627802,Банк ВТБ,"ул. Ленина, 59, Пермь",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1296627802/?ll=56.210462%2C58.006607&z=16,58.006607,56.210462,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
6,1351363251,Банк ВТБ,"Комсомольский просп., 33, Пермь",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1351363251/?ll=56.242621%2C58.006726&z=16,58.006726,56.242621,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
7,1176679219,Банк ВТБ,"1-я Красноармейская ул., 40, Пермь",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1176679219/?ll=56.261118%2C58.000789&z=16,58.000789,56.261118,"4,1",['8 (800) 200-77-99Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
8,1108260985,Банк ВТБ,"Комсомольский просп., 70, Пермь",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1108260985/?ll=56.253680%2C57.996349&z=16,57.996349,56.253680,"4,0",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
9,1033455311,Банк ВТБ,"ул. Куйбышева, 103, Пермь",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1033455311/?ll=56.248353%2C57.987552&z=16,57.987552,56.248353,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
