,ID,name,address,website,ypage,lat,lon,rating,phone,social,opening_hours.mon,opening_hours.tue,opening_hours.wed,opening_hours.thu,opening_hours.fri,opening_hours.sat,opening_hours.sun
0,1243205287,Банк ВТБ,"ул. Менделеева, 137, Уфа",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1243205287/?ll=55.993591%2C54.713481&z=16,54.713481,55.993591,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
1,37342696352,Банк ВТБ,"просп. Октября, 72, Уфа",vtb.ru,https://yandex.ru/maps/org/bank_vtb/37342696352/?ll=56.013353%2C54.761363&z=16,54.761363,56.013353,"4,5",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-15:00,выходной
2,155578647222,Банк ВТБ,"просп. Октября, 107А, Уфа",vtb.ru,https://yandex.ru/maps/org/bank_vtb/155578647222/?ll=56.031760%2C54.782744&z=16,54.782744,56.031760,"4,0",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
3,1762273167,Банк ВТБ,"ул. Бессонова, 2, Уфа",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1762273167/?ll=55.991722%2C54.740272&z=16,54.740272,55.991722,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
4,1803173465,Банк ВТБ,"Республика Башкортостан, городской округ Уфа, Кировский район, Верхнеторговая площадь, 3",,https://yandex.ru/maps/org/bank_vtb/1803173465/?ll=55.945297%2C54.725753&z=16,54.725753,55.945297,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-15:00,выходной
5,14285041491,Банк ВТБ,"ул. Юрия Гагарина, 6, Уфа",vtb.ru,https://yandex.ru/maps/org/bank_vtb/14285041491/?ll=56.049547%2C54.764371&z=16,54.764371,56.049547,"4,0",['8 (800) 200-77-99Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
6,1249623933,Банк ВТБ,"ул. Юрия Гагарина, 45А, Уфа",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1249623933/?ll=56.077071%2C54.771866&z=16,54.771866,56.077071,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
7,1067715056,Банк ВТБ,"ул. Ленина, 65/4, Уфа",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1067715056/?ll=55.952988%2C54.738053&z=17,54.738053,55.952988,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,выходной,выходной
8,83961283612,Банк ВТБ,"Первомайская ул., 52, Уфа",vtb.ru,https://yandex.ru/maps/org/bank_vtb/83961283612/?ll=56.091632%2C54.812317&z=16,54.812317,56.091632,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,выходной,выходной
9,71230227747,Банк ВТБ,"Первомайская ул., 44, Уфа",,https://yandex.ru/maps/org/bank_vtb/71230227747/?ll=56.086656%2C54.813921&z=16,54.813921,56.086656,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,выходной,выходной
10,1254507881,Банк ВТБ,"ул. Карла Маркса, 23, Уфа",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1254507881/?ll=55.940419%2C54.725727&z=16,54.725727,55.940419,"3,9",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,выходной,выходной
11,1065382040,Банк ВТБ,"ул. Правды, 21, Уфа",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1065382040/?ll=55.828732%2C54.701944&z=16,54.701944,55.828732,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
