,ID,name,address,website,ypage,lat,lon,rating,phone,social,opening_hours.mon,opening_hours.tue,opening_hours.wed,opening_hours.thu,opening_hours.fri,opening_hours.sat,opening_hours.sun
0,194483461947,Банк ВТБ,"Краснознаменская ул., 5А, Волгоград",vtb.ru,https://yandex.ru/maps/org/bank_vtb/194483461947/?ll=44.511559%2C48.702792&z=16,48.702792,44.511559,"4,5",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,10:00-17:00,выходной
1,69690088028,Банк ВТБ,"ул. 64-й Армии, 44, Волгоград",,https://yandex.ru/maps/org/bank_vtb/69690088028/?ll=44.426138%2C48.620903&z=16,48.620903,44.426138,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
2,1133724526,Банк ВТБ,"Авиаторская ул., 5, Волгоград",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1133724526/?ll=44.473883%2C48.679354&z=16,48.679354,44.473883,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
3,1063280939,Банк ВТБ,"ул. 8-й Воздушной Армии, 58, район Семь Ветров, Волгоград",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1063280939/?ll=44.501614%2C48.758772&z=16,48.758772,44.501614,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-15:00,выходной
4,1381889372,Банк ВТБ,"Комсомольская ул., 8, Волгоград",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1381889372/?ll=44.521287%2C48.709207&z=16,48.709207,44.521287,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
5,1919818920,Банк ВТБ,"ул. 13-й Гвардейской Дивизии, 7А, Волгоград",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1919818920/?ll=44.530352%2C48.715211&z=17,48.715211,44.530352,,['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
6,196375580378,Банк ВТБ,"Невская ул., 11, Волгоград",vtb.ru,https://yandex.ru/maps/org/bank_vtb/196375580378/?ll=44.508935%2C48.716900&z=16,48.716900,44.508935,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
7,12187271566,Банк ВТБ,"ул. Генерала Штеменко, 33, Волгоград",vtb.ru,https://yandex.ru/maps/org/bank_vtb/12187271566/?ll=44.556555%2C48.774776&z=16,48.774776,44.556555,"4,1",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-15:00,выходной
8,71678012480,Банк ВТБ,"ул. Рокоссовского, 56, Волгоград",vtb.ru,https://yandex.ru/maps/org/bank_vtb/71678012480/?ll=44.520416%2C48.727503&z=16,48.727503,44.520416,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,выходной,выходной
9,1779807753,Банк ВТБ,"просп. Героев Сталинграда, 32, Волгоград",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1779807753/?ll=44.558540%2C48.515717&z=16,48.515717,44.558540,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
10,1119009433,Банк ВТБ,"Коммунистическая ул., 19Д, Волгоград",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1119009433/?ll=44.522598%2C48.715701&z=17,48.715701,44.522598,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
11,79496920534,Банк ВТБ,"Рабоче-Крестьянская ул., 23, Волгоград",www.vtb.ru,https://yandex.ru/maps/org/bank_vtb/79496920534/?ll=44.495065%2C48.693694&z=16,48.693694,44.495065,,['8 (800) 200-77-99Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
12,235437467355,Банк ВТБ,"просп. Героев Сталинграда, 37, Волгоград",vtb.ru,https://yandex.ru/maps/org/bank_vtb/235437467355/?ll=44.544329%2C48.514225&z=16,48.514225,44.544329,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-15:00,выходной
13,1072040632,Банк ВТБ,"ул. Николая Отрады, 6, Волгоград",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1072040632/?ll=44.624064%2C48.814760&z=16,48.814760,44.624064,"4,5",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
14,1028344811,Банк ВТБ,"просп. имени Ленина, 75, Волжский",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1028344811/?ll=44.750376%2C48.790538&z=16,48.790538,44.750376,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
15,230904632119,Банк ВТБ,"ул. Мира, 74, Волжский",vtb.ru,https://yandex.ru/maps/org/bank_vtb/230904632119/?ll=44.807823%2C48.767472&z=16,48.767472,44.807823,"4,3",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
16,1185339531,Банк ВТБ,"ул. Мира, 30, Волжский",vtb.ru,https://yandex.ru/maps/org/bank_vtb/1185339531/?ll=44.795713%2C48.776557&z=16,48.776557,44.795713,"4,2",['8 (800) 100-24-24Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,выходной,выходной
17,16417581495,Банк ВТБ,"ул. 40 лет ВЛКСМ, 55Д, Волгоград",,https://yandex.ru/maps/org/bank_vtb/16417581495/?ll=44.607535%2C48.490656&z=16,48.490656,44.607535,"4,0",['8 (800) 200-77-99Показать телефон'],"['https://ok.ru/vtb', 'https://t.me/vtb_main_bot', 'https://vk.com/vtb']",08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,выходной,выходной
