ID,name,city,address,opening_hours,lat,lon,rating,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Кредит,Банкомат,Расположение,Вклад,load_time
156216472392,Альфа-Банк,Кудрово,"Европейский просп., 8, Кудрово","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",59.900792,30.512752,"4,4",83.0,82.0,93.0,82.0,,,,,2024-06-24 01:54:49
159482750452,Альфа-Банк,Красноуфимск,"Советская ул., 51, Красноуфимск","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",56.614684,57.766487,"4,4",86.0,83.0,,,,,,,2024-06-24 04:54:20
57365798567,Альфа-Банк,Раменское,"ул. Михалевича, 1А, Раменское","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",55.568181,38.22707,"4,7",75.0,74.0,75.0,69.0,81.0,,80.0,,2024-06-23 21:47:21
86273842073,Альфа-Банк,Миасс,"просп. Автозаводцев, 61Б, Миасс","'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.047533,60.109105,"4,6",81.0,81.0,81.0,78.0,91.0,,100.0,,2024-06-23 20:51:35
179390576117,Альфа-Банк,Сосновоборск,"ул. Ленинского Комсомола, 4, Сосновоборск","'mon': 09:00-22:59, 'tue': 09:00-22:59, 'wed': 09:00-22:59, 'thu': 09:00-22:59, 'fri': 09:00-22:59, 'sat': 09:00-22:59, 'sun': 09:00-22:59",56.122846,93.338057,,,,,,,,,,2024-06-24 16:50:32
167844286369,Альфа-Банк,Гурьевск,"Пражский бул., 2А, Гурьевск","'mon': 06:30-22:00, 'tue': 06:30-22:00, 'wed': 06:30-22:00, 'thu': 06:30-22:00, 'fri': 06:30-22:00, 'sat': 06:30-22:00, 'sun': 06:30-22:00",54.760023,20.601963,,,,,,,,,,2024-06-24 11:02:00
23928038311,Альфа-Банк,Гурьевск,"Пражский бул., 1Ж, Гурьевск","'mon': 07:00-23:00, 'tue': 07:00-23:00, 'wed': 07:00-23:00, 'thu': 07:00-23:00, 'fri': 07:00-23:00, 'sat': 07:00-23:00, 'sun': 07:00-23:00",54.761937,20.605965,,,,,,,,,,2024-06-24 11:02:00
115670182788,Альфа-Банк,Корсаков,"Советская ул., 31, Корсаков","'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-18:00, 'sat': выходной, 'sun': выходной",46.63210,142.7793,"4,8",100.0,100.0,100.0,,,,,,2024-06-24 05:53:29
17126988994,Альфа-Банк,Иркутск,"ул. Литвинова, 2, Иркутск","'mon': 09:00-20:00, 'tue': 09:00-19:00, 'wed': выходной, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",52.28424,104.28806,"4,4",78.0,74.0,83.0,78.0,86.0,,79.0,,2024-06-23 16:51:51
4054672646,Альфа-Банк,Иркутск,"ул. Кожова, 20, Иркутск","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",52.27126,104.28937,"4,5",83.0,82.0,84.0,78.0,82.0,,,,2024-06-23 16:51:51
7458315971,Альфа-Банк,Иркутск,"ул. Лермонтова, 63, Иркутск","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",52.26957,104.25705,"4,5",88.0,86.0,86.0,88.0,90.0,,100.0,,2024-06-23 16:51:51
1124757899,Альфа-Банк,Иркутск,"ул. Ленина, 25, Иркутск","'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",52.27677,104.28605,"4,3",71.0,70.0,70.0,66.0,70.0,,69.0,,2024-06-23 16:51:51
176079913766,Альфа-Банк,Каменка,"ул. Чкалова, 21, Каменка","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",53.195306,43.984607,"4,4",100.0,100.0,100.0,,,,,,2024-06-24 13:40:38
72421910879,Альфа-Банк,Белая Калитва,"Российская ул., 23, Белая Калитва","'mon': 07:00-20:00, 'tue': 07:00-20:00, 'wed': 07:00-20:00, 'thu': 07:00-20:00, 'fri': 07:00-20:00, 'sat': 07:00-19:00, 'sun': 07:00-19:00",48.174934,40.808946,,,,,,,,,,2024-06-24 10:09:33
53218837201,Альфа-Банк,Белая Калитва,"ул. Энгельса, 382, Белая Калитва","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 00:00-23:59, 'sun': 00:00-23:59",48.177019,40.792775,,,,,,,,,,2024-06-24 10:09:33
12540973360,Альфа-Банк,Мелеуз,"ул. Ленина, 133, Мелеуз","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",52.964655,55.925948,"4,0",,,,,,,,,2024-06-24 15:10:12
37470310783,Альфа-Банк,Удомля,"ул. Попова, 23, Удомля","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",57.872524,35.007428,"4,5",94.0,94.0,93.0,,,,,,2024-06-24 06:11:18
164819686969,Альфа-Банк,Королёв,"просп. Космонавтов, 27Б, Королёв","'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.91352,37.868382,"4,4",59.0,56.0,67.0,55.0,46.0,51.0,68.0,55.0,2024-06-24 07:02:10
