,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,load_time
0,alfa_bank/172085389551,Альфа-Банк,"ул. Молодцова, 7, корп. 2, Сертолово",alfabank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",60.142294,30.213774,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",2024-08-26 09:09:34
1,alfa_bank/1096550179,Альфа-Банк,"Новосмоленская наб., 1Б, Санкт-Петербург",alfabank.ru,"'mon': 08:00-23:00, 'tue': 08:00-23:00, 'wed': 08:00-23:00, 'thu': 08:00-23:00, 'fri': 08:00-23:00, 'sat': 08:00-23:00, 'sun': 08:00-23:00",59.949231,30.229271,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",2024-08-26 09:09:34
2,alfa_bank/1440741699,Альфа-Банк,"ул. Савушкина, 127, Санкт-Петербург",alfabank.ru,"'mon': 00:00-23:59, 'tue': 00:00-23:59, 'wed': 00:00-23:59, 'thu': 00:00-23:59, 'fri': 00:00-23:59, 'sat': 00:00-23:59, 'sun': 00:00-23:59",59.987303,30.219281,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",2024-08-26 09:09:34
3,alfa_bank/1732008921,Альфа-Банк,"Богатырский просп., 42, Санкт-Петербург",alfabank.ru,"'mon': 08:00-00:00, 'tue': 08:00-00:00, 'wed': 08:00-00:00, 'thu': 08:00-00:00, 'fri': 08:00-00:00, 'sat': 08:00-00:00, 'sun': 08:00-00:00",60.002899,30.228471,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",2024-08-26 09:09:34
4,alfa_bank/170279792377,Альфа-Банк,"Малый просп. Васильевского острова, 88, корп. 2, Санкт-Петербург",alfabank.ru,"'mon': 10:00-22:00, 'tue': 10:00-22:00, 'wed': 10:00-22:00, 'thu': 10:00-22:00, 'fri': 10:00-22:00, 'sat': 10:00-22:00, 'sun': 10:00-22:00",59.938748,30.229162,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",2024-08-26 09:09:34
5,alfa_bank/237600968559,Альфа-Банк,"ул. Савушкина, 141, Санкт-Петербург",alfabank.ru,"'mon': 10:00-22:00, 'tue': 10:00-22:00, 'wed': 10:00-22:00, 'thu': 10:00-22:00, 'fri': 10:00-22:00, 'sat': 10:00-22:00, 'sun': 10:00-22:00",59.990801,30.205821,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",2024-08-26 09:09:34
6,alfa_bank/69596894212,Альфа-Банк,,alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-20:00, 'sun': 10:00-20:00",63.934564,30.314997,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",2024-08-26 09:09:34
7,alfa_bank/1684953262,Альфа-Банк,"ул. Савушкина, 112, Санкт-Петербург",alfabank.ru,"'mon': 00:00-23:59, 'tue': 00:00-23:59, 'wed': 00:00-23:59, 'thu': 00:00-23:59, 'fri': 00:00-23:59, 'sat': 00:00-23:59, 'sun': 00:00-23:59",59.984602,30.226117,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",2024-08-26 09:09:34
8,alfa_bank/115265122093,Альфа-Банк,"Парашютная ул., 60, Санкт-Петербург",alfabank.ru,"'mon': 00:00-23:59, 'tue': 00:00-23:59, 'wed': 00:00-23:59, 'thu': 00:00-23:59, 'fri': 00:00-23:59, 'sat': 00:00-23:59, 'sun': 00:00-23:59",60.039140,30.239610,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",2024-08-26 09:09:34
9,alfa_bank/233527439142,Альфа-Банк,"Торфяная дорога, 7, Санкт-Петербург",alfabank.ru,"'mon': 10:00-22:00, 'tue': 10:00-22:00, 'wed': 10:00-22:00, 'thu': 10:00-22:00, 'fri': 10:00-22:00, 'sat': 10:00-22:00, 'sun': 10:00-22:00",59.989405,30.257325,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",2024-08-26 09:09:34
