,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ремонт,График работы,load_time
0,sberbank/220139300161,СберБанк,"просп. 40-летия Победы, 79, Ростов-на-Дону",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 08:30-16:00, 'sun': выходной, ",47.238520,39.823754,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,55,50,92,67,,2024-07-30 00:14:36
1,sberbank/1089356293,СберБанк,"ул. Туполева, 16, Ростов-на-Дону",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",47.282570,39.804997,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",87,69,69,94,,64,2024-07-30 00:14:36
2,sberbank/56431861729,СберБанк,"ул. Дзержинского, 1Д, Аксай",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",47.264454,39.864439,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-30 00:14:36
3,sberbank/1018698387,СберБанк,"Советская ул., 67, хутор Большой Лог",www.sberbank.com,"'mon': 08:30-15:45, 'tue': 08:30-15:45, 'wed': 08:30-15:45, 'thu': выходной, 'fri': 08:30-15:45, 'sat': выходной, 'sun': выходной, ",47.295155,39.915050,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-30 00:14:36
4,sberbank/1103115802,СберБанк,"Киргизская ул., 38В, Ростов-на-Дону",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-15:30, 'sun': выходной, ",47.276059,39.749652,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,62,42,100,,,2024-07-30 00:14:36
5,sberbank/1104835095,СберБанк,"Вятская ул., 41/1, Ростов-на-Дону",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",47.285321,39.753074,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,66,71,77,79,60,2024-07-30 00:14:36
6,sberbank/1225488110,СберБанк,"просп. Ленина, 18, Аксай",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-15:30, 'sun': выходной, ",47.264240,39.859533,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",72,43,43,91,,36,2024-07-30 00:14:36
7,sberbank/1104935763,СберБанк,"просп. 40-летия Победы, 91, Ростов-на-Дону",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",47.239566,39.830051,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,25,12,,,9,2024-07-30 00:14:36
8,sberbank/179621466299,СберБанк,"Брестская ул., 1/79А, посёлок Орджоникидзе, Ростов-на-Дону",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",47.267065,39.789213,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,68,80,86,,,2024-07-30 00:14:36
9,sberbank/1104120108,СберБанк,"ул. Дзержинского, 1Д, Аксай",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",47.264454,39.864439,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,64,,,0,,2024-07-30 00:14:36
