,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,load_time
0,sberbank/1075458323,СберБанк,"Игнатьевское ш., 13, Благовещенск",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",C50.29495,127.51580,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,85,72,90,2024-07-28 20:19:32
1,sberbank/1125265722,СберБанк,"ул. Калинина, 140, Благовещенск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-15:00, 'sun': выходной, ",C50.29949,127.52805,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,84,,,2024-07-28 20:19:32
2,sberbank/1096977650,СберБанк,"Кольцевая ул., 34, микрорайон КПП, Благовещенск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",C50.30266,127.55031,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,76,,100,2024-07-28 20:19:32
3,sberbank/1109090696,СберБанк,"Пионерская ул., 12, Благовещенск",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",C50.25987,127.53045,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,69,75,100,2024-07-28 20:19:32
4,sberbank/60427711890,СберБанк,"1, посёлок Моховая Падь, квартал Литер, Благовещенск",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",C50.36563,127.61716,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-07-28 20:19:32
5,sberbank/1070353910,СберБанк,"ул. 50 лет Октября, 26, Благовещенск",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",C50.26446,127.53427,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,76,,100,2024-07-28 20:19:32
6,sberbank/64212383058,СберБанк,"ул. Ленина, 74, Благовещенск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",C50.25591,127.55033,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,86,62,,2024-07-28 20:19:32
7,sberbank/1048795874,СберБанк,"ул. Ломоносова, 223, Благовещенск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C50.27582,127.53045,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,61,,,2024-07-28 20:19:32
8,sberbank/158021129761,СберБанк,"Северная ул., 59, Благовещенск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C50.27170,127.55857,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,94,,,2024-07-28 20:19:32
9,sberbank/1128099099,СберБанк,"ул. Ленина, 193, Благовещенск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C50.26026,127.51264,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,67,64,,2024-07-28 20:19:32
10,sberbank/201444685903,СберБанк,"ул. Ленина, 8, село Березовка",www.sberbank.com,"'mon': 08:30-16:30, 'tue': 08:30-16:30, 'wed': 08:30-16:30, 'thu': 08:30-16:30, 'fri': 08:30-16:15, 'sat': выходной, 'sun': выходной, ",C50.57209,127.86474,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-07-28 20:19:32
11,sberbank/1030009451,СберБанк,"Юбилейная ул., 9, село Садовое",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': 08:00-13:15, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",C50.15937,127.87307,"3,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-07-28 20:19:32
