,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,График работы,load_time
0,sberbank/20899308797,СберБанк,"просп. Ленина, 35, Братск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:00, 'sun': выходной, ",C56.15109,101.63222,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",67,33,,,2024-08-04 20:49:04
1,sberbank/1034023333,СберБанк,"ул. Крупской, 35А, Братск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-14:00, 'sun': выходной, ",C56.17341,101.61614,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,71,,,2024-08-04 20:49:04
2,sberbank/1175362453,СберБанк,"ул. Обручева, 5, Братск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",C56.16164,101.62129,"4,4",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],81,56,,,2024-08-04 20:49:04
3,sberbank/1240446383,СберБанк,"ул. Мира, 31, Братск",,"'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-18:00, 'sat': выходной, 'sun': выходной, ",C56.15484,101.62142,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,40,,,2024-08-04 20:49:04
4,sberbank/1118278901,СберБанк,"ул. Баркова, 19А, Братск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",C56.15576,101.59202,"4,3",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],82,,25,0,2024-08-04 20:49:04
5,sberbank/1014291262,СберБанк,"ул. Холоднова, 4, жилой район Энергетик, Братск",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': 09:30-17:00, 'sat': выходной, 'sun': выходной, ",C56.30240,101.75393,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,90,,,2024-08-04 20:49:04
6,sberbank/1081682791,СберБанк,"ул. Мечтателей, 1, жилой район Энергетик, Братск",,"'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-18:00, 'sat': 10:00-14:00, 'sun': выходной, ",C56.31071,101.73870,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,71,,,2024-08-04 20:49:04
7,sberbank/1178116791,СберБанк,"ул. Гидростроителей, 51, жилой район Падун, Братск",,"'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-18:00, 'sat': выходной, 'sun': выходной, ",C56.29213,101.72507,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-04 20:49:04
8,sberbank/1002425339,СберБанк,"Сосновая ул., 3Б, жилой район Гидростроитель, Братск",,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': 09:30-14:00, 'sun': выходной, ",C56.28479,101.89128,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,67,,,2024-08-04 20:49:04
9,sberbank/1108714522,СберБанк,"ул. Дзержинского, 42А, Вихоревка",,"'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-18:00, 'sat': выходной, 'sun': выходной, ",C56.12302,101.16508,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-04 20:49:04
10,sberbank/244612427684,СберБанк,"ул. Дзержинского, 127Б, Вихоревка",,"'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-17:45, 'sat': выходной, 'sun': выходной, ",C56.12017,101.18477,"4,0",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,2024-08-04 20:49:04
