,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Ремонт,Расположение,load_time
0,sberbank/1128084497,СберБанк,"Большая Московская ул., 110/2, Великий Новгород",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-15:00, 'sun': выходной, ",58.540866,31.304075,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,58,56,75,92,2024-08-04 21:12:42
1,sberbank/26862157786,СберБанк,"Большая Санкт-Петербургская ул., 130, Великий Новгород",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",58.565204,31.280102,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,71,,,,2024-08-04 21:12:42
2,sberbank/1039699930,СберБанк,"Большая Санкт-Петербургская ул., 13, Великий Новгород",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-16:30, 'sun': выходной, ",58.529619,31.270688,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",71,58,69,,85,2024-08-04 21:12:42
3,sberbank/1114143823,СберБанк,"Большая Санкт-Петербургская ул., 39, стр. 18, Великий Новгород",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",58.537924,31.264067,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,52,73,,,2024-08-04 21:12:42
4,sberbank/1038292489,СберБанк,"просп. Мира, 32, корп. 1, Великий Новгород",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:00, 'sun': выходной, ",58.531554,31.230191,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",79,60,69,,95,2024-08-04 21:12:42
5,sberbank/1089169454,СберБанк,"ул. Фёдоровский Ручей, 2/13, Великий Новгород",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-14:00, 'sun': выходной, ",58.523553,31.286857,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sber']",,,,,,2024-08-04 21:12:42
6,sberbank/1077624829,СберБанк,"ул. Ломоносова, 14/20, Великий Новгород",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",58.535576,31.241995,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,77,,,,2024-08-04 21:12:42
7,sberbank/181751883242,СберБанк,"ул. Свободы, 29А, Западный район, Великий Новгород",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-16:00, 'sun': выходной, ",58.541344,31.226508,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,54,43,,93,2024-08-04 21:12:42
8,sberbank/66682758098,СберБанк,"Людогоща ул., 6/13, Софийская сторона, Великий Новгород",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",58.524455,31.267328,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,71,,,,2024-08-04 21:12:42
9,sberbank/104791946543,СберБанк,"Псковская ул., 13, Псковский район, Великий Новгород",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:30, 'sun': выходной, ",58.515615,31.245903,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,70,75,,,2024-08-04 21:12:42
10,sberbank/15355590423,СберБанк,"просп. Мира, 13, корп. 1, Великий Новгород",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",58.536567,31.234476,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sber_students_bot', 'https://vk.com/sberbank']",77,75,,,,2024-08-04 21:12:42
11,sberbank/1073049438,СберБанк,"Промышленная ул., 1, п. г. т. Панковка",,"'mon': выходной, 'tue': 09:00-16:00, 'wed': 09:00-16:00, 'thu': выходной, 'fri': 09:00-15:45, 'sat': выходной, 'sun': выходной, ",58.501276,31.218764,"3,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-04 21:12:42
12,sberbank/1012449974,СберБанк,"51, микрорайон Кречевицы, Великий Новгород",,"'mon': выходной, 'tue': 09:30-17:45, 'wed': 09:30-17:45, 'thu': 09:30-17:45, 'fri': 09:30-17:45, 'sat': 09:30-17:45, 'sun': выходной, ",58.615633,31.404770,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-04 21:12:42
13,sberbank/179097401724,СберБанк,"Центральная ул., 106, д. Подберезье",www.sberbank.ru,"'mon': 08:00-17:15, 'tue': выходной, 'wed': 08:00-17:15, 'thu': 08:00-17:15, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",58.700739,31.401545,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-04 21:12:42
14,sberbank/224509163371,СберБанк,"Воцкая ул., 10, д. Чечулино",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",58.669382,31.370535,"3,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-04 21:12:42
