,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,График работы,Банкомат,Расположение,load_time
0,sberbank/1027252383,СберБанк,"ул. Коцоева, 68, Владикавказ",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",43.030080,44.673642,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",73,63,50,,,2024-08-04 21:37:39
1,sberbank/117371251001,СберБанк,"ул. Владимира Баллаева, 6, Владикавказ",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': 10:00-15:00, ",43.030752,44.678681,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-04 21:37:39
2,sberbank/235634905896,СберБанк,"ул. Кирова, 57, Владикавказ",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",43.036262,44.686559,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",95,73,,,,2024-08-04 21:37:39
3,sberbank/1067769749,СберБанк,"просп. Коста, 21, Владикавказ",,"'mon': 09:00-16:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной, ",43.009304,44.675214,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,48,27,9,,2024-08-04 21:37:39
4,sberbank/1674343502,СберБанк,"Первомайская ул., 44А, Владикавказ",,"'mon': выходной, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-18:00, 'sun': выходной, ",43.020412,44.653672,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,56,,67,100,2024-08-04 21:37:39
5,sberbank/1652472683,СберБанк,"просп. Коста, 213, Владикавказ",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.035208,44.664003,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,63,,,,2024-08-04 21:37:39
6,sberbank/1652606412,СберБанк,"ул. Джанаева, 36, Владикавказ",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.033039,44.686262,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,25,,57,,2024-08-04 21:37:39
7,sberbank/1010643093,СберБанк,"ул. Морских Пехотинцев, 9, Владикавказ",,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной, ",43.040538,44.636739,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,71,,69,,2024-08-04 21:37:39
8,sberbank/1655605197,СберБанк,"Московская ул., 37, Владикавказ",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.052187,44.641006,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber', 'https://www.youtube.com/channel/UC1ZKyde6xeiK47dPqUWwZYw']",94,83,,,,2024-08-04 21:37:39
9,sberbank/1258301609,СберБанк,"Владикавказская ул., 27, Владикавказ",,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-15:00, 'sun': выходной, ",43.046850,44.633325,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,54,,10,,2024-08-04 21:37:39
