,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Кредит,Ипотека,График работы,load_time
0,sberbank/207260337354,СберБанк,"ул. Свердлова, 35, Волжский",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",48.797291,44.747393,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,67,64,94,,,,2024-08-04 22:10:41
1,sberbank/1255740849,СберБанк,"просп. имени Ленина, 22, Волжский",,"'mon': 08:00-17:30, 'tue': 08:00-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",48.804068,44.738204,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,75,53,100,,,,2024-08-04 22:10:41
2,sberbank/1063909080,СберБанк,"просп. имени Ленина, 97, Волжский",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-13:30, 'sun': выходной, ",48.783426,44.754157,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",80,59,86,,,,,2024-08-04 22:10:41
3,sberbank/140962433228,СберБанк,"ул. Мира, 36, Волжский",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-14:00, 'sun': выходной, ",48.776118,44.797376,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,81,72,100,,,,2024-08-04 22:10:41
4,sberbank/25365037130,СберБанк,"ул. Энгельса, 39, Волжский",,"'mon': 08:00-17:30, 'tue': 08:00-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",48.789902,44.767201,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,58,55,100,,,,2024-08-04 22:10:41
5,sberbank/1093697796,СберБанк,"ул. Мира, 71, Волжский",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-14:00, 'sun': выходной, ",48.771249,44.805154,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",83,78,77,95,43,63,,2024-08-04 22:10:41
6,sberbank/1685024411,СберБанк,"площадь Труда, 19, Волжский",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': выходной, 'sun': выходной, ",48.783467,44.784098,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,71,73,,,,,2024-08-04 22:10:41
7,sberbank/19678676740,СберБанк,"просп. имени Ленина, 120, Волжский",,"'mon': 08:00-17:30, 'tue': 08:00-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",48.776112,44.761164,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,62,40,100,,,,2024-08-04 22:10:41
8,sberbank/189861435249,СберБанк,"просп. Дружбы, 87, Волжский",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",48.762086,44.804634,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,71,88,92,,,,2024-08-04 22:10:41
9,sberbank/1131826379,СберБанк,"ул. Николая Отрады, 17, Волгоград",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",48.822804,44.638391,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",90,57,60,100,,,80,2024-08-04 22:10:41
10,sberbank/1062247345,СберБанк,"ул. Менжинского, 11А, Волгоград",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",48.816469,44.623138,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",89,35,43,100,,,,2024-08-04 22:10:41
11,sberbank/1135124253,СберБанк,"ул. 40 лет Победы, 61Г, Волжский",www.sberbank.ru,"'mon': 08:00-17:30, 'tue': 08:00-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",48.761207,44.814443,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,86,100,100,,,,2024-08-04 22:10:41
12,sberbank/1096815691,СберБанк,"просп. имени В.И. Ленина, 209, Волгоград",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:30, 'sun': выходной, ",48.798306,44.601273,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sber']",87,50,,,,,,2024-08-04 22:10:41
13,sberbank/1012777115,СберБанк,"ул. Николая Отрады, 26А, Волгоград",,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-13:00, 'sun': выходной, ",48.817845,44.631842,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",95,67,55,88,,,,2024-08-04 22:10:41
14,sberbank/137739192662,СберБанк,"Луганская ул., 3, Волжский",,"'mon': выходной, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-16:45, 'sun': выходной, ",48.904405,44.776382,"3,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-08-04 22:10:41
15,sberbank/1011052830,СберБанк,"ул. Батова, 1, Волгоград",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",48.796170,44.590574,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",89,93,76,100,,,,2024-08-04 22:10:41
16,sberbank/1046577498,СберБанк,"Коммунистическая ул., 40, Волгоград",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-14:30, 'sun': 10:00-13:00, ",48.717542,44.526650,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",83,72,63,82,58,55,64,2024-08-04 22:10:41
17,sberbank/1114928535,СберБанк,"Советская ул., 69А, рабочий посёлок Средняя Ахтуба",,"'mon': 08:00-16:30, 'tue': 08:00-16:30, 'wed': 08:00-16:30, 'thu': 08:00-16:30, 'fri': 08:00-16:30, 'sat': 08:00-13:30, 'sun': выходной, ",48.707858,44.859494,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,63,18,,,,,2024-08-04 22:10:41
18,sberbank/1052893023,СберБанк,"ул. Маршала Ерёменко, 35, Волгоград",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",48.783199,44.562123,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",86,63,52,92,,,,2024-08-04 22:10:41
19,sberbank/1012703485,СберБанк,"ул. Маршала Ерёменко, 68, Волгоград",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",48.768191,44.543304,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,78,44,70,,,,2024-08-04 22:10:41
20,sberbank/175609892593,СберБанк,"просп. Металлургов, 15, Волгоград",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",48.767704,44.553564,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,74,,,,,,2024-08-04 22:10:41
