,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,График работы,Ремонт,load_time
0,sberbank/192309321154,СберБанк,"Красная ул., 10, Гатчина",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-16:00, 'sun': выходной, ",59.565074,30.121095,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",81,70,95,69,,,2024-07-28 23:05:04
1,sberbank/105806000333,СберБанк,"ул. Гагарина, 5, Гатчина",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-16:30, 'sun': выходной, ",59.572772,30.124033,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",96,74,83,77,,,2024-07-28 23:05:04
2,sberbank/186454817837,СберБанк,"ул. Авиатриссы Зверевой, 7/12, Гатчина",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-16:30, 'sun': выходной, ",59.557314,30.090723,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,82,100,63,,,2024-07-28 23:05:04
3,sberbank/1125924411,СберБанк,"Соборная ул., 30, Гатчина",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",59.564089,30.135352,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,63,100,55,40,,2024-07-28 23:05:04
4,sberbank/1030308254,СберБанк,"Рощинская ул., 11А, Гатчина",www.sberbank.com,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-17:00, 'sun': выходной, ",59.576810,30.134678,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",64,45,91,56,20,91,2024-07-28 23:05:04
5,sberbank/1057657926,СберБанк,"Заводская ул., 3А, Гатчина",www.sberbank.com,"'mon': выходной, 'tue': 09:20-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-14:30, 'sun': выходной, ",59.569094,30.067654,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,,,16,,,2024-07-28 23:05:04
6,sberbank/94035139905,СберБанк,"ул. 30 лет Победы, 1, д. Большие Колпаны",www.sberbank.com,"'mon': выходной, 'tue': 08:45-18:00, 'wed': 08:45-18:00, 'thu': 08:45-17:00, 'fri': 08:45-18:00, 'sat': 08:45-17:00, 'sun': выходной, ",59.524041,30.069505,"3,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-28 23:05:04
7,sberbank/1108097113,СберБанк,"ул. Кутышева, 55, д. Малое Верево",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': 09:00-17:15, 'thu': выходной, 'fri': 09:00-17:15, 'sat': 09:00-15:15, 'sun': выходной, ",59.614404,30.170422,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-28 23:05:04
8,sberbank/1124065551,СберБанк,"72, посёлок Новый Свет",www.sberbank.com,"'mon': выходной, 'tue': 09:00-17:00, 'wed': 09:00-17:00, 'thu': 09:00-17:00, 'fri': 09:00-17:00, 'sat': 09:00-15:00, 'sun': выходной, ",59.560552,30.198521,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-28 23:05:04
9,sberbank/1052591149,СберБанк,"ул. Зайончковского, 2, посёлок Пудость",www.sberbank.com,"'mon': выходной, 'tue': 09:00-17:15, 'wed': выходной, 'thu': 09:00-17:15, 'fri': 09:00-17:15, 'sat': 09:00-15:15, 'sun': выходной, ",59.617158,30.040364,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-28 23:05:04
