,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,Ипотека,Кредит,Ремонт,load_time
0,sberbank/71924155629,СберБанк,"ул. Шевченко, 11А, Калининград",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:30, 'sun': выходной, ",54.711619,20.511044,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sberbank']",78,66,,,,,,2024-07-30 01:52:44
1,sberbank/1184761730,СберБанк,"ул. Генерала Челнокова, 11, Калининград",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:00-17:00, 'sun': выходной, ",54.737492,20.487454,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,74,92,,,,,2024-07-30 01:52:44
2,sberbank/145722195262,СберБанк,"Шатурская ул., 8А, посёлок Васильково",www.sberbank.com,"'mon': выходной, 'tue': 09:45-17:45, 'wed': 09:45-17:45, 'thu': 09:45-17:45, 'fri': 09:45-17:45, 'sat': 10:00-16:00, 'sun': выходной, ",54.740901,20.582937,"3,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-30 01:52:44
3,sberbank/1048361962,СберБанк,"ул. Профессора Баранова, 34, Калининград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-16:00, 'sun': выходной, ",54.721209,20.506203,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,71,,,,,,2024-07-30 01:52:44
4,sberbank/1127089871,СберБанк,"ул. Александра Невского, 50, Калининград",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:00, 'sun': выходной, ",54.730931,20.531373,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,70,69,56,,,,2024-07-30 01:52:44
5,sberbank/1121144825,СберБанк,"ул. Дзержинского, 42, Калининград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.692370,20.526909,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,70,,70,,,,2024-07-30 01:52:44
6,sberbank/1105295166,СберБанк,"Озёрная ул., 5, Калининград",www.sberbank.com,"'mon': 10:00-18:30, 'tue': 10:00-18:30, 'wed': 10:00-18:30, 'thu': 10:00-18:30, 'fri': 10:00-18:30, 'sat': выходной, 'sun': выходной, ",54.736967,20.509320,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,77,100,91,,,,2024-07-30 01:52:44
7,sberbank/69110210440,СберБанк,"ул. Белинского, 38, Калининград",www.sberbank.com,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной, ",54.715951,20.443833,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,81,,,,,,2024-07-30 01:52:44
8,sberbank/1121485825,СберБанк,"ул. Юрия Гагарина, 99, Калининград",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.724994,20.549618,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,77,100,71,,,,2024-07-30 01:52:44
9,sberbank/1121691928,СберБанк,"Советский просп., 2, Калининград",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': 09:00-16:00, ",54.721635,20.499393,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,64,,,,,,2024-07-30 01:52:44
10,sberbank/1132163876,СберБанк,"ул. 9 Апреля, 7, Калининград",www.sberbank.com,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной, ",54.714630,20.521941,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,81,100,,,,,2024-07-30 01:52:44
11,sberbank/1184290977,СберБанк,"Фабричная ул., 9, Гурьевск",www.sberbank.com,"'mon': 08:30-17:00, 'tue': 08:30-17:00, 'wed': 08:30-17:00, 'thu': 08:30-17:00, 'fri': 08:30-17:00, 'sat': 09:00-12:30, 'sun': выходной, ",54.780247,20.597570,"4,3",['+7 (495) 500-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,76,,,,,,2024-07-30 01:52:44
12,sberbank/1336607474,СберБанк,"Московский просп., 244, Калининград",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",54.708045,20.570989,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,65,100,75,,,,2024-07-30 01:52:44
13,sberbank/139368091940,СберБанк,"Ленинский просп., 34, Калининград",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",54.703759,20.504989,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-30 01:52:44
