,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,Кредит,График работы,Ремонт,load_time
0,sberbank/1170867268,СберБанк,"ул. Павла Шаманова, 26, Екатеринбург",www.sberbank.com,"'mon': 09:30-20:00, 'tue': 09:30-20:00, 'wed': 09:30-20:00, 'thu': 09:30-20:00, 'fri': 09:30-20:00, 'sat': 10:00-16:00, 'sun': выходной, ",56.788179,60.518045,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",83,71,58,95,79,67,,,2024-07-29 00:30:50
1,sberbank/1211357181,СберБанк,"ул. Вильгельма де Геннина, 31, Екатеринбург",www.sberbank.com,"'mon': 09:30-20:00, 'tue': 09:30-20:00, 'wed': 09:30-20:00, 'thu': 09:30-20:00, 'fri': 09:30-20:00, 'sat': 10:00-17:00, 'sun': выходной, ",56.792404,60.521351,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",74,51,26,92,,,,,2024-07-29 00:30:50
2,sberbank/1143999995,СберБанк,"ул. Репина, 94, Екатеринбург",www.sberbank.com,"'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 10:00-18:00, 'sun': 10:30-17:30, ",56.817183,60.538536,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",77,63,58,88,,,,,2024-07-29 00:30:50
3,sberbank/1205734675,СберБанк,"ул. Титова, 22, Екатеринбург",www.sberbank.com,"'mon': 09:00-20:30, 'tue': 09:00-20:30, 'wed': 09:00-20:30, 'thu': 09:00-20:30, 'fri': 09:00-20:30, 'sat': 09:00-17:00, 'sun': 10:00-15:30, ",56.780305,60.609332,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,58,58,90,,,68,,2024-07-29 00:30:50
4,sberbank/1246147257,СберБанк,"ул. Малышева, 31В, Екатеринбург",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:00, 'sun': выходной, ",56.834225,60.598750,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",82,75,71,92,,,,83,2024-07-29 00:30:50
5,sberbank/1160681837,СберБанк,"ул. Крауля, 63, Екатеринбург",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-17:00, 'sun': 10:00-17:00, ",56.830374,60.548085,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",66,40,43,,,,36,,2024-07-29 00:30:50
6,sberbank/1173786238,СберБанк,"ул. Куйбышева, 67, Екатеринбург",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:30, 'sun': выходной, ",56.828384,60.612703,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",79,70,68,88,60,58,40,,2024-07-29 00:30:50
7,sberbank/1187906464,СберБанк,"Белореченская ул., 16, Екатеринбург",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:30-16:30, 'sun': выходной, ",56.820558,60.567022,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://vk.com/sber', 'https://ok.ru/sber', 'https://t.me/sberbank']",82,56,59,100,,,75,,2024-07-29 00:30:50
8,sberbank/1219133894,СберБанк,"ул. Академика Бардина, 7, корп. 1, Екатеринбург",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': выходной, 'sun': выходной, ",56.807545,60.550438,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,61,83,96,,,71,,2024-07-29 00:30:50
9,sberbank/1003278161,СберБанк,"ул. Щорса, 29, Екатеринбург",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 10:00-17:30, 'sun': выходной, ",56.809384,60.622178,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,64,56,92,86,84,82,,2024-07-29 00:30:50
