,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение,Кредит,График работы,Ипотека,load_time
0,1077821761,СберБанк,"Советская ул., 6, Жуков",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",55.029730,36.747590,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,86,85,68,,,,,,2024-06-22 21:27:38
1,121417803812,СберБанк,"Успенская ул., 1А, Малоярославец",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 08:30-16:00, 'sun': выходной",55.011340,36.461518,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,84,87,73,73,,,,,2024-06-22 21:27:38
2,1232219738,СберБанк,"ул. Курчатова, 18А, Обнинск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной",55.103281,36.615439,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",64,68,76,57,,,,,,2024-06-22 21:27:38
3,1155981509,СберБанк,"просп. Маркса, 79, Обнинск",www.sberbank.ru,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:30-15:30, 'sun': выходной",55.121958,36.605484,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,87,90,83,56,,,,,2024-06-22 21:27:38
4,1091018108,СберБанк,"ул. Гурьянова, 3/1, Белоусово",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-13:30,14:00-17:30, 'wed': 08:30-13:30,14:00-17:30, 'thu': 08:30-13:30,14:00-17:30, 'fri': 08:30-13:30,14:00-17:30, 'sat': 08:30-14:30, 'sun': выходной",55.089934,36.663391,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",59,68,59,19,,,,,,2024-06-22 21:27:38
5,1121350960,СберБанк,"просп. Ленина, 50, Обнинск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной",55.090929,36.613377,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,88,88,67,50,85,,,,2024-06-22 21:27:38
6,1157088064,СберБанк,"просп. Маркса, 46, Обнинск",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:00, 'sun': выходной",55.116163,36.597046,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",73,73,77,56,82,93,61,50,71,2024-06-22 21:27:38
7,1026685874,СберБанк,"ул. Ленина, 3, село Высокиничи",www.sberbank.ru,"'mon': 09:30-12:00,12:30-18:00, 'tue': выходной, 'wed': выходной, 'thu': 09:30-12:00,12:30-18:00, 'fri': выходной, 'sat': выходной, 'sun': выходной",54.914385,36.915422,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,,2024-06-22 21:27:38
8,1072760069,СберБанк,"Центральная ул., 41, д. Кривское",www.sberbank.ru,"'mon': выходной, 'tue': 10:00-12:00,12:30-16:00, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",55.133169,36.536504,"2,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,,2024-06-22 21:27:38
9,129249571302,СберБанк,"ул. 50 лет Октября, 2/1, Балабаново",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной",55.179108,36.658953,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,72,78,66,,,,,,2024-06-22 21:27:38
