,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,Ипотека,Кредит,График работы,load_time
0,sberbank/1107936525,СберБанк,"Савёлкинский пр., 6, Зеленоград",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:00, 'sun': 10:00-16:00, ",55.991173,37.218190,"4,9",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",84,75,80,71,88,66,59,2024-07-29 01:36:17
1,sberbank/1012553320,СберБанк,"к834В, Зеленоград",www.sberbank.com,"'mon': 09:30-19:30, 'tue': 09:30-19:30, 'wed': 09:30-19:30, 'thu': 09:30-19:30, 'fri': 09:30-19:30, 'sat': 10:00-15:00, 'sun': 10:00-15:00, ",55.980468,37.176670,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",87,67,89,68,,,,2024-07-29 01:36:17
2,sberbank/1046630475,СберБанк,"к1106, Зеленоград",www.sberbank.com,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:30-16:30, 'sun': выходной, ",55.996994,37.189696,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,65,100,93,,,88,2024-07-29 01:36:17
3,sberbank/1077676671,СберБанк,"к435А, Зеленоград",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",55.996460,37.211202,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,65,100,46,,,33,2024-07-29 01:36:17
4,sberbank/1057196172,СберБанк,"к1812, Зеленоград",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-16:30, 'sun': выходной, ",55.981414,37.162746,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",77,71,90,67,,,75,2024-07-29 01:36:17
5,sberbank/1083980396,СберБанк,"к1640, Зеленоград",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-15:00, 'sun': выходной, ",55.976629,37.160383,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,61,88,54,,,,2024-07-29 01:36:17
6,sberbank/1334440035,СберБанк,"к249, Зеленоград",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-14:30, 'sun': выходной, ",56.004630,37.204743,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",77,59,100,53,,,,2024-07-29 01:36:17
7,sberbank/1015683232,СберБанк,"к1403А, Зеленоград",www.sberbank.com,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:00-17:00, 'sun': выходной, ",55.985202,37.150646,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,79,83,43,,,,2024-07-29 01:36:17
8,sberbank/160938187765,СберБанк,"Савёлкинский пр., 6, Зеленоград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.991173,37.218190,"4,6",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,2024-07-29 01:36:17
9,sberbank/1095782754,СберБанк,"16Б, рабочий посёлок Андреевка",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.978760,37.141177,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,46,,17,,,13,2024-07-29 01:36:17
