,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,График работы,Банкомат,Расположение,Кредит,Ипотека,load_time
0,sberbank/1031233215,СберБанк,"ул. 8 Марта, 32, Иваново",www.sberbank.com,"'mon': 10:00-21:00, 'tue': 10:00-21:00, 'wed': 10:00-21:00, 'thu': 10:00-21:00, 'fri': 10:00-21:00, 'sat': 10:00-21:00, 'sun': 10:00-21:00, ",57.005534,40.985311,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",77,56,94,61,93,,,2024-07-29 01:51:30
1,sberbank/65188014159,СберБанк,"Шереметевский просп., 83, Иваново",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-13:00, 'sun': выходной, ",57.006524,40.989130,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",82,75,,,83,73,70,2024-07-29 01:51:30
2,sberbank/1083636880,СберБанк,"просп. Ленина, 116, Иваново",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",57.020697,40.969115,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",82,73,,80,,,,2024-07-29 01:51:30
3,sberbank/1118139117,СберБанк,"ул. Бубнова, 47, Иваново",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-13:30, 'sun': выходной, ",56.994990,40.992022,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,67,91,82,100,,,2024-07-29 01:51:30
4,sberbank/1013579197,СберБанк,"просп. Ленина, 62А, Иваново",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.008127,40.973265,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",73,61,,38,77,,,2024-07-29 01:51:30
5,sberbank/1087470587,СберБанк,"ул. Свободы, 52, Иваново",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-13:00, 'sun': выходной, ",57.017213,41.011479,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",82,62,70,92,,,,2024-07-29 01:51:30
6,sberbank/1059529985,СберБанк,"ул. Пушкина, 9Б, Иваново",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.999782,40.983672,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",100,100,,,,,,2024-07-29 01:51:30
7,sberbank/1210632533,СберБанк,"ул. Богдана Хмельницкого, 3, Иваново",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-14:00, 'sun': выходной, ",56.991278,40.973615,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",73,44,,27,,,,2024-07-29 01:51:30
8,sberbank/1105177209,СберБанк,"ул. Кузнецова, 28, Иваново",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.999608,40.964731,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,59,,46,,,,2024-07-29 01:51:30
9,sberbank/1068045174,СберБанк,"ул. Парижской Коммуны, 24, Иваново",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:04-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.998907,40.948831,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",80,48,,30,60,,,2024-07-29 01:51:30
