,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ремонт,load_time
0,sberbank/1257468373,СберБанк,"ул. Карла Маркса, 109Б, Йошкар-Ола",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",56.623103,47.890553,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",73,69,,,,2024-07-29 02:41:12
1,sberbank/1132842218,СберБанк,"Ленинский просп., 24Д, Йошкар-Ола",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",56.631308,47.888281,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,62,45,100,,2024-07-29 02:41:12
2,sberbank/1011157508,СберБанк,"Красноармейская ул., 40, Йошкар-Ола",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-14:30, 'sun': выходной, ",56.641476,47.895366,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,63,88,95,,2024-07-29 02:41:12
3,sberbank/202147046753,СберБанк,"ул. Воинов-Интернационалистов, 21А, Йошкар-Ола",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",56.633947,47.927420,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,80,95,,,2024-07-29 02:41:12
4,sberbank/1019341873,СберБанк,"бул. Чавайна, 16, Йошкар-Ола",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-13:30, 'sun': выходной, ",56.631660,47.916901,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,43,62,,,2024-07-29 02:41:12
5,sberbank/1335158389,СберБанк,"Ленинский просп., 68, Йошкар-Ола",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",56.639313,47.871509,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,67,,,,2024-07-29 02:41:12
6,sberbank/1083910297,СберБанк,"Пролетарская ул., 44, Йошкар-Ола",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.646671,47.888414,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,56,65,,,2024-07-29 02:41:12
7,sberbank/1079804568,СберБанк,"ул. Героев Сталинградской Битвы, 29, Йошкар-Ола",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': выходной, 'sun': выходной, ",56.626218,47.947048,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,75,67,,,2024-07-29 02:41:12
8,sberbank/211287684447,СберБанк,"ул. Йывана Кырли, 46, Йошкар-Ола",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",56.639441,47.826683,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,76,32,,74,2024-07-29 02:41:12
9,sberbank/1048076884,СберБанк,"ул. Карла Либкнехта, 80А, Йошкар-Ола",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': выходной, 'sun': выходной, ",56.637476,47.946877,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",90,79,,,,2024-07-29 02:41:12
