,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Ремонт,Расположение,Ипотека,Кредит,График работы,load_time
0,sberbank/1088484381,СберБанк,"ул. Татарстан, 52, Вахитовский район, Казань",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-15:00, 'sun': выходной, ",55.778973,49.109917,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",84,74,64,73,100,,,,2024-08-05 02:52:19
1,sberbank/1050733829,СберБанк,"ул. Пушкина, 4, корп. 2, Казань",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-19:00, 'sun': выходной, ",55.786556,49.122261,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,57,56,,94,,,,2024-08-05 02:52:19
2,sberbank/1196545186,СберБанк,"ул. Бутлерова, 44, Казань",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",55.789482,49.138727,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",83,79,89,,88,,,,2024-08-05 02:52:19
3,sberbank/1290242569,СберБанк,"Чистопольская ул., 5, Казань",,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 08:30-15:30, 'sun': выходной, ",55.819464,49.101689,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/careersber']",75,59,50,,93,56,45,,2024-08-05 02:52:19
4,sberbank/1157087125,СберБанк,"ул. Марселя Салимжанова, 17, Казань",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 13:40-18:00, 'sat': выходной, 'sun': выходной, ",55.776198,49.133966,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,68,43,,100,,,,2024-08-05 02:52:19
5,sberbank/1020892467,СберБанк,"ул. Академика Губкина, 3, Казань",,"'mon': 08:30-20:00, 'tue': 08:30-20:00, 'wed': 08:30-20:00, 'thu': 08:30-20:00, 'fri': 08:30-20:00, 'sat': 08:30-17:00, 'sun': 09:30-15:00, ",55.803601,49.187064,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,66,54,,100,,20,73,2024-08-05 02:52:19
6,sberbank/1020305695,СберБанк,"просп. Победы, 62, корп. 4, Казань",,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-17:00, 'sun': выходной, ",55.751087,49.213835,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",81,63,,,71,70,,,2024-08-05 02:52:19
7,sberbank/1391121382,СберБанк,"ул. Вишневского, 57, Казань",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.782669,49.149542,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",69,70,80,,,,,,2024-08-05 02:52:19
8,sberbank/1264509075,СберБанк,"Гвардейская ул., 22, Казань",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",55.788242,49.170734,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,58,61,,100,,,,2024-08-05 02:52:19
9,sberbank/39206295394,СберБанк,"ул. Академика Глушко, 17А, Казань",,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 08:30-15:00, 'sun': выходной, ",55.785174,49.232223,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,66,79,,95,,,,2024-08-05 02:52:19
