,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Ипотека,Кредит,Расположение,Банкомат,График работы,Ремонт,load_time
0,sberbank/51679292943,СберБанк,"Московский просп., 12, Калининград",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:03-19:00, 'sat': 09:00-18:00, 'sun': выходной, ",54.710141,20.496141,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",78,58,74,77,90,,,,2024-08-05 03:05:53
1,sberbank/1016499984,СберБанк,"ул. Черняховского, 4, Калининград",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-17:00, 'sun': выходной, ",54.718786,20.503094,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,62,,,100,79,,,2024-08-05 03:05:53
2,sberbank/71924155629,СберБанк,"ул. Шевченко, 11А, Калининград",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:30, 'sun': выходной, ",54.711619,20.511044,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sberbank']",78,66,,,,,,,2024-08-05 03:05:53
3,sberbank/1070112742,СберБанк,"ул. Новый Вал, 33, Калининград",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",54.699785,20.510406,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,78,,,,67,,,2024-08-05 03:05:53
4,sberbank/1121691928,СберБанк,"Советский просп., 2, Калининград",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': 09:00-16:00, ",54.721635,20.499393,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,64,,,,,,,2024-08-05 03:05:53
5,sberbank/1122325688,СберБанк,"ул. Карла Маркса, 49, Калининград",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:00-17:30, 'sun': выходной, ",54.725056,20.469138,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,81,,,100,,,,2024-08-05 03:05:53
6,sberbank/1079058449,СберБанк,"Киевская ул., 95, Калининград",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-15:30, 'sun': выходной, ",54.681024,20.474276,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,74,,,100,65,67,,2024-08-05 03:05:53
7,sberbank/69110210440,СберБанк,"ул. Белинского, 38, Калининград",,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной, ",54.715951,20.443833,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,81,,,,,,,2024-08-05 03:05:53
8,sberbank/1132163876,СберБанк,"ул. 9 Апреля, 7, Калининград",,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной, ",54.714630,20.521941,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,81,,,100,,,,2024-08-05 03:05:53
9,sberbank/1073094697,СберБанк,"ул. Чекистов, 36, Калининград",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.732574,20.474842,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",91,76,,,100,61,,73,2024-08-05 03:05:53
