,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение,График работы,load_time
0,1566051364,СберБанк,"просп. Ленина, 49, Ковров",www.sberbank.ru,"'mon': 08:30-09:00, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",56.354183,41.311760,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",70,69,71,60,63,92,76,2024-06-21 23:18:20
1,175291722449,СберБанк,"ул. Строителей, 16, Ковров",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-14:30, 'sun': выходной",56.337629,41.301454,"4,6",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],81,80,89,79,58,,,2024-06-21 23:18:20
2,227820634757,СберБанк,"Волго-Донская ул., 10/1, Ковров",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной",56.351010,41.286412,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,93,100,,,,,2024-06-21 23:18:20
3,1028988552,СберБанк,"ул. Грибоедова, 28, Ковров",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-12:00, 'sun': выходной",56.352851,41.329538,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",72,75,74,67,73,80,,2024-06-21 23:18:20
4,1113861653,СберБанк,"просп. Ленина, 21, Ковров",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",56.361679,41.309865,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,81,82,74,63,,,2024-06-21 23:18:20
5,1016627682,СберБанк,"ул. Абельмана, 31, Ковров",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",56.376459,41.308345,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,79,82,68,57,92,,2024-06-21 23:18:20
6,23314378108,СберБанк,"Первомайская ул., 92, посёлок Мелехово",www.sberbank.ru,"'mon': выходной, 'tue': 10:00-13:30,14:30-18:00, 'wed': 10:00-13:30,14:30-18:00, 'thu': выходной, 'fri': 10:00-13:30,14:30-18:00, 'sat': 10:00-13:00, 'sun': выходной",56.276883,41.295338,"2,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-21 23:18:20
7,154702805231,СберБанк,"ул. Ильича, 7, посёлок Новки",www.sberbank.ru,"'mon': выходной, 'tue': 08:15-12:00,13:00-14:45, 'wed': 08:15-12:00,13:00-14:45, 'thu': выходной, 'fri': 08:15-12:00,13:00-14:45, 'sat': выходной, 'sun': выходной",56.363244,41.073625,"2,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-21 23:18:20
8,1049559367,СберБанк,"Школьная ул., 57А, посёлок Малыгино",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",56.412845,41.158767,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-21 23:18:20
9,1032906324,СберБанк,"Шоссейная ул., 9, посёлок имени Карла Маркса",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-12:00,13:00-15:30, 'wed': 08:30-12:00,13:00-15:30, 'thu': выходной, 'fri': 08:30-12:00,13:00-15:30, 'sat': 09:00-15:00, 'sun': выходной",56.416715,41.097448,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-21 23:18:20
