,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Ипотека,Кредит,Ремонт,load_time
0,sberbank/214716853491,СберБанк,"Тверская ул., 1/13, Колпино",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",59.746356,30.609375,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,74,53,100,,,,,2024-07-29 04:29:09
1,sberbank/1115805676,СберБанк,"просп. Ленина, 37, Колпино",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",59.750731,30.574322,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,66,74,92,62,,,,2024-07-29 04:29:09
2,sberbank/1134120817,СберБанк,"Октябрьская ул., 8, Колпино",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",59.738956,30.622948,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,67,41,91,,,,,2024-07-29 04:29:09
3,sberbank/1341964770,СберБанк,"бул. Трудящихся, 35, корп. 1, Колпино",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",59.734408,30.582888,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,70,85,91,77,91,77,,2024-07-29 04:29:09
4,sberbank/1093823613,СберБанк,"ул. Ижорского Батальона, 7, Колпино",www.sberbank.com,"'mon': 09:45-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 09:45-19:00, 'sat': 10:00-16:30, 'sun': выходной, ",59.735818,30.614495,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",71,47,22,,,,,,2024-07-29 04:29:09
5,sberbank/1217823132,СберБанк,"ул. Веры Слуцкой, 38, Колпино",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",59.742674,30.582210,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,57,67,80,,,,,2024-07-29 04:29:09
6,sberbank/1097129714,СберБанк,"Пролетарская ул., 60, Колпино",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:30-16:30, 'sun': выходной, ",59.741495,30.564729,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,77,52,100,23,,,,2024-07-29 04:29:09
7,sberbank/1129036322,СберБанк,"7, корп. 1, посёлок Тельмана",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-14:30, 'sun': выходной, ",59.724433,30.609734,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,91,77,,,,,,2024-07-29 04:29:09
8,sberbank/1050752103,СберБанк,"1А, 1-й микрорайон, городской посёлок имени Свердлова",www.sberbank.com,"'mon': выходной, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:30, 'sun': выходной, ",59.796873,30.637742,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,33,,,,,,,2024-07-29 04:29:09
9,sberbank/60968213015,СберБанк,"Центральная ул., 2/7, посёлок Металлострой",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",59.806903,30.571412,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,65,48,80,,,,,2024-07-29 04:29:09
10,sberbank/1387252252,СберБанк,"Ростовская ул., 19/3, территория Славянка, посёлок Шушары",www.sberbank.com,"'mon': 09:45-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 09:45-19:30, 'sat': 10:00-17:00, 'sun': 11:00-16:00, ",59.741949,30.477987,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,52,68,91,63,,,,2024-07-29 04:29:09
11,sberbank/26896515962,СберБанк,"ул. Гагарина, 1А, Отрадное",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:30-15:00, 'sun': выходной, ",59.773638,30.796700,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,59,,,,,,,2024-07-29 04:29:09
12,sberbank/1165450400,СберБанк,"Прибрежная ул., 8, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-17:30, 'sun': 11:00-16:00, ",59.834719,30.508683,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,64,92,86,75,,,73,2024-07-29 04:29:09
13,sberbank/1110222751,СберБанк,"Комсомольская ул., 9, Никольское",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:40-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",59.705523,30.787178,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,83,76,91,55,,,,2024-07-29 04:29:09
14,sberbank/1059140325,СберБанк,"Оранжерейная ул., 46, Пушкин",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-17:00, 'sun': 10:30-15:30, ",59.725930,30.415302,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",77,60,82,61,82,71,54,71,2024-07-29 04:29:09
15,sberbank/1088875426,СберБанк,"Московская ул., 33, Пушкин",www.sberbank.com,"'mon': 09:45-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 09:45-19:00, 'sat': 10:00-17:00, 'sun': выходной, ",59.718367,30.409733,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,38,22,,,,,,2024-07-29 04:29:09
16,sberbank/1024828149,СберБанк,"Павловское ш., 19, Пушкин",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-17:00, 'sun': выходной, ",59.708010,30.414673,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,73,33,100,,,,,2024-07-29 04:29:09
17,sberbank/1052141658,СберБанк,"ул. Ленина, 15А, Отрадное",www.sberbank.com,"'mon': выходной, 'tue': 09:30-18:45, 'wed': 09:30-18:45, 'thu': 09:30-18:45, 'fri': 09:30-18:45, 'sat': 09:30-15:45, 'sun': выходной, ",59.760965,30.779489,"2,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",60,,8,,,,,,2024-07-29 04:29:09
