,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,Кредит,График работы,Ремонт,load_time
0,sberbank/1021956590,СберБанк,"ул. Ленина, 21, Красногорск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-17:00, 'sun': выходной, ",55.826867,37.312819,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",79,67,72,100,,,,,2024-07-29 05:10:20
1,sberbank/66950155591,СберБанк,"Успенская ул., 4А, Красногорск",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-18:00, 'sun': выходной, ",55.828713,37.297449,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/bankdruzey']",66,46,67,47,62,69,,,2024-07-29 05:10:20
2,sberbank/204307914198,СберБанк,"Комсомольская ул., 45, микрорайон Райцентр, Красногорск",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:30-15:00, 'sun': выходной, ",55.816956,37.311354,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",80,67,53,,,,,,2024-07-29 05:10:20
3,sberbank/1056858889,СберБанк,"ул. Ленина, 26А, Красногорск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",55.831671,37.301688,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",81,73,57,92,,,,,2024-07-29 05:10:20
4,sberbank/1204315507,СберБанк,"Заводская ул., 31, Красногорск",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-15:30, 'sun': выходной, ",55.808189,37.325674,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,60,23,87,,,,,2024-07-29 05:10:20
5,sberbank/159708525977,СберБанк,"ул. Ленина, 63, Красногорск",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-14:00, 'sun': выходной, ",55.836438,37.295930,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,58,58,93,,,,,2024-07-29 05:10:20
6,sberbank/1206339373,СберБанк,"ул. имени Зверева, 6А, Красногорск",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",55.822498,37.364068,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",80,63,53,76,,,54,,2024-07-29 05:10:20
7,sberbank/1110263302,СберБанк,"Павшинская ул., 2, Красногорск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.815631,37.350548,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,53,25,,,,20,54,2024-07-29 05:10:20
8,sberbank/1204166320,СберБанк,"Речная ул., 6, Красногорск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",55.822903,37.338556,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",72,57,46,87,,,31,,2024-07-29 05:10:20
9,sberbank/32435375728,СберБанк,"ул. Генерала Белобородова, 13, Москва",www.sberbank.com,"'mon': 09:30-19:30, 'tue': 09:30-19:30, 'wed': 09:30-19:30, 'thu': 09:30-19:30, 'fri': 09:30-19:30, 'sat': 10:00-16:00, 'sun': выходной, ",55.836230,37.355612,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",88,75,86,100,,,,,2024-07-29 05:10:20
10,sberbank/232863277765,Сбербанк,"Пятницкое ш., 39, Москва",www.sberbank.com,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной, ",55.855153,37.355498,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,64,70,85,,,90,,2024-07-29 05:10:20
11,sberbank/218219919975,СберБанк,"Новотушинский пр., 8, корп. 1, Москва",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 10:00-16:00, 'sun': выходной, ",55.838461,37.379488,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",64,64,75,95,,,,,2024-07-29 05:10:20
12,sberbank/63354115245,СберБанк,"Митинская ул., 47, Москва",www.sberbank.com,"'mon': 09:30-20:00, 'tue': 09:30-20:00, 'wed': 09:30-20:00, 'thu': 09:30-20:00, 'fri': 09:30-20:00, 'sat': выходной, 'sun': выходной, ",55.850985,37.352655,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,69,50,100,,,,,2024-07-29 05:10:20
13,sberbank/39537397095,СберБанк,"Международная ул., 12, Красногорск",www.sberbank.com,"'mon': выходной, 'tue': 11:00-22:00, 'wed': 11:00-22:00, 'thu': 11:00-22:00, 'fri': 11:00-22:00, 'sat': 11:00-22:00, 'sun': 11:00-22:00, ",55.820936,37.387738,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,67,,80,,,,,2024-07-29 05:10:20
14,sberbank/1194446806,СберБанк,"18, посёлок Архангельское",www.sberbank.com,"'mon': выходной, 'tue': 09:45-18:00, 'wed': 09:45-18:00, 'thu': 09:45-18:00, 'fri': 09:45-18:00, 'sat': 10:00-14:30, 'sun': выходной, ",55.787908,37.298068,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,42,7,,,,6,,2024-07-29 05:10:20
15,sberbank/1010228810,СберБанк,"Пятницкое ш., 25, корп. 1, Москва",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:30-16:00, 'sun': выходной, ",55.848413,37.364921,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",69,49,62,100,,,,,2024-07-29 05:10:20
16,sberbank/1623855727,СберБанк,"Строгинский бул., 22, Москва",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:30-17:00, 'sun': выходной, ",55.802963,37.402938,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",77,55,50,89,,,,,2024-07-29 05:10:20
17,sberbank/1029799640,СберБанк,"Неманский пр., 9, Москва",www.sberbank.com,"'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.810678,37.392517,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,79,71,94,,,57,89,2024-07-29 05:10:20
18,sberbank/1072744268,СберБанк,"Таллинская ул., 26, Москва",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.799882,37.407627,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,73,71,92,,,,,2024-07-29 05:10:20
19,sberbank/1067092228,СберБанк,"Фестивальная ул., 2Б, Москва",www.sberbank.com,"'mon': 10:00-21:00, 'tue': 10:00-21:00, 'wed': 10:00-21:00, 'thu': 09:30-20:00, 'fri': 10:00-21:00, 'sat': 10:00-18:00, 'sun': 10:00-18:00, ",55.855083,37.478091,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",78,52,75,86,,,87,,2024-07-29 05:10:20
20,sberbank/1126439223,СберБанк,"ул. Исаковского, 31, Москва",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-16:30, 'sun': выходной, ",55.806287,37.418003,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",82,73,77,96,,,55,,2024-07-29 05:10:20
