,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Кредит,Ипотека,Ремонт,load_time
0,sberbank/1008478001,СберБанк,"Зиповская ул., 8, микрорайон Завод Измерительных Приборов, Краснодар",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",45.061803,39.000906,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,65,78,98,76,29,,,2024-07-29 05:17:46
1,sberbank/1052946110,СберБанк,"ул. Фёдора Лузана, 10, Краснодар",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:30, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",45.068671,38.979274,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",78,59,57,100,8,,,,2024-07-29 05:17:46
2,sberbank/1000475320,Сбербанк России,"Красная ул., 176/4, Краснодар",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",45.046139,38.978906,"4,6",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],79,53,58,86,60,76,80,,2024-07-29 05:17:46
3,sberbank/1015552723,СберБанк,"Российская ул., 414, Краснодар",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-16:00, 'sun': выходной, ",45.084679,39.014956,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,62,59,84,44,,,,2024-07-29 05:17:46
4,sberbank/1079049160,СберБанк,"ул. 1 Мая, 160, Краснодар",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",45.055605,39.022985,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,56,57,83,50,33,,,2024-07-29 05:17:46
5,sberbank/177712945988,СберБанк,"ул. имени Тургенева, 150/1, Фестивальный микрорайон, Краснодар",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",45.067271,38.965764,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,56,50,93,,,,,2024-07-29 05:17:46
6,sberbank/1254153561,СберБанк,"ул. Красных Партизан, 489, Краснодар",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",45.050590,38.962414,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,68,54,90,10,,,,2024-07-29 05:17:46
7,sberbank/127345106964,СберБанк,"Московская ул., 162, Краснодар",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",45.093435,39.003313,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,56,69,94,,50,83,,2024-07-29 05:17:46
8,sberbank/1043628916,СберБанк,"ул. Красных Партизан, 171, Краснодар",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",45.059103,38.927001,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,63,76,94,62,55,,,2024-07-29 05:17:46
9,sberbank/1108341202,СберБанк,"Красная ул., 160, Краснодар",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",45.039808,38.976454,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,58,61,95,,10,,,2024-07-29 05:17:46
