,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,График работы,Кредит,Расположение,load_time
0,201542622081,СберБанк,"просп. Ворошилова, 20, Кропоткин",www.sberbank.ru,"'mon': 08:00-17:00, 'tue': 08:00-17:00, 'wed': 08:00-17:00, 'thu': 08:00-17:00, 'fri': 08:00-17:00, 'sat': выходной, 'sun': выходной",45.433273,40.556364,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,85,88,73,86,67,45,62,2024-06-22 00:46:34
1,1089615869,СберБанк,"Красная ул., 39, Кропоткин",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 08:00-17:00, 'sun': выходной",45.434319,40.574383,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,94,94,67,50,,,100,2024-06-22 00:46:34
2,84395774869,СберБанк,"просп. Ворошилова, 20, Кропоткин",www.sberbank.ru,"'mon': 08:00-17:00, 'tue': 08:00-17:00, 'wed': 08:00-17:00, 'thu': 08:00-17:00, 'fri': 08:00-15:45, 'sat': выходной, 'sun': выходной",45.433271,40.556360,"4,4",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],94,94,93,,,,,,2024-06-22 00:46:34
3,1067422684,СберБанк,"ул. Строителей, 40, п. г. т. Красносельский",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': 08:15-13:00,13:30-16:30, 'fri': 08:15-13:00,13:30-16:30, 'sat': выходной, 'sun': выходной",45.399985,40.607202,"2,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-06-22 00:46:34
4,137821181037,СберБанк,"ул. Максима Горького, 123, станица Кавказская",www.sberbank.ru,"'mon': 08:00-16:15, 'tue': 08:00-16:15, 'wed': 08:00-16:15, 'thu': 08:00-16:15, 'fri': 08:00-16:15, 'sat': выходной, 'sun': выходной",45.439809,40.672235,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",96,91,100,,,,,,2024-06-22 00:46:34
5,195662021532,СберБанк,"Красная ул., 36, Гулькевичи",www.sberbank.ru,"'mon': 08:00-17:00, 'tue': 08:00-17:00, 'wed': 08:00-17:00, 'thu': 08:00-17:00, 'fri': 08:00-17:00, 'sat': 08:00-13:00, 'sun': выходной",45.359082,40.691858,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,81,86,77,80,,,,2024-06-22 00:46:34
6,1170380853,СберБанк,"Красная ул., 68, станица Казанская",www.sberbank.ru,"'mon': выходной, 'tue': 08:45-12:00,12:30-15:45, 'wed': 08:45-12:00,12:30-15:45, 'thu': 08:45-12:00,12:30-15:45, 'fri': 08:45-12:00,12:30-15:45, 'sat': выходной, 'sun': выходной",45.407307,40.442998,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-06-22 00:46:34
7,236839093579,СберБанк,"21, микрорайон Западный, Гулькевичи",www.sberbank.ru,"'mon': выходной, 'tue': 08:00-12:00,13:00-17:00, 'wed': 08:00-12:00,13:00-17:00, 'thu': 08:00-12:00,13:00-17:00, 'fri': 08:00-12:00,13:00-17:00, 'sat': 08:00-13:30, 'sun': выходной",45.363071,40.670533,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-06-22 00:46:34
8,1061967510,СберБанк,"Школьная ул., 2, посёлок Кубань",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",45.355998,40.420397,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-06-22 00:46:34
9,1040838653,СберБанк,"Почтовая ул., 2, п. г. т. Гирей",www.sberbank.ru,"'mon': 08:15-14:45, 'tue': 08:15-14:45, 'wed': 08:15-14:45, 'thu': 08:15-14:45, 'fri': 08:00-15:15, 'sat': выходной, 'sun': выходной",45.414678,40.684879,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-06-22 00:46:34
