,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Кредит,Расположение,Ипотека,Банкомат,График работы,load_time
0,76960948740,СберБанк,"ул. Дзержинского, 42, Курск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной",51.726840,36.185295,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",69,73,80,57,63,95,82,64,,2024-06-22 01:14:18
1,174069617480,СберБанк,"ул. Ленина, 67, Курск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-15:30, 'sun': выходной",51.743237,36.194836,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,93,95,77,,,,,,2024-06-22 01:14:18
2,72283352958,СберБанк,"ул. Дзержинского, 69А, Курск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",51.722759,36.171643,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",68,66,72,65,,90,,93,,2024-06-22 01:14:18
3,124149526919,СберБанк,"Студенческая ул., 3, микрорайон Северо-Западный, Курск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:30, 'sun': выходной",51.740767,36.144772,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,84,86,77,,91,,76,,2024-06-22 01:14:18
4,1084794568,СберБанк,"ул. Дейнеки, 1, микрорайон Курского Завода Тракторных Запчастей, Курск",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",51.708746,36.146347,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,86,87,79,,91,,71,,2024-06-22 01:14:18
5,186512561682,СберБанк,"ул. Карла Маркса, 55, Курск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:30, 'sun': выходной",51.757122,36.189365,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",72,72,75,64,,,,,,2024-06-22 01:14:18
6,1001979773,СберБанк,"ул. Бойцов 9-й Дивизии, 185В, Курск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",51.726890,36.139161,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",68,65,72,60,,90,,38,,2024-06-22 01:14:18
7,1118949155,СберБанк,"просп. Дружбы, 22, Курск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:30, 'sun': выходной",51.740224,36.132448,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,92,92,60,,100,,70,,2024-06-22 01:14:18
8,1080243978,СберБанк,"ул. Карла Маркса, 66/3, Курск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",51.760053,36.186203,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,69,77,70,,92,,82,,2024-06-22 01:14:18
9,1109851237,СберБанк,"Союзная ул., 41А, Курск",www.sberbank.ru,"'mon': 08:45-18:15, 'tue': 08:45-18:15, 'wed': 08:45-18:15, 'thu': 08:45-18:15, 'fri': 08:45-18:15, 'sat': 09:00-14:30, 'sun': выходной",51.746441,36.247318,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,72,70,61,,97,,73,,2024-06-22 01:14:18
