,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Кредит,Ипотека,Банкомат,График работы,Ремонт,Расположение,load_time
0,sberbank/1054645108,СберБанк,"Первомайская ул., 2, Липецк",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",52.603773,39.598627,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/bps.sberbank', 'https://vk.com/sberbank']",72,68,37,56,,,,,2024-08-05 06:52:17
1,sberbank/1039544445,СберБанк,"ул. Желябова, 17, Липецк",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:30, 'sun': выходной, ",52.614415,39.600396,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://www.youtube.com/channel/UCM4aBRnEiNCf9fQFl2qx2Bg']",82,73,,,52,73,80,,2024-08-05 06:52:17
2,sberbank/4055681693,СберБанк,"просп. Победы, 2, Липецк",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-13:00, 'sun': выходной, ",52.602078,39.572343,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber', 'https://www.youtube.com/channel/UCM4aBRnEiNCf9fQFl2qx2Bg']",90,81,,,95,,,100,2024-08-05 06:52:17
3,sberbank/1090959747,СберБанк,"Торговая площадь, 2, Липецк",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:30, 'sun': выходной, ",52.599408,39.585530,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,64,,,72,,,100,2024-08-05 06:52:17
4,sberbank/1093811362,СберБанк,"ул. Космонавтов, 110А, Липецк",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': 09:00-13:00, ",52.605627,39.539796,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber', 'https://www.youtube.com/channel/UCM4aBRnEiNCf9fQFl2qx2Bg']",91,71,,,68,55,,100,2024-08-05 06:52:17
5,sberbank/244149989870,СберБанк,"ул. Космонавтов, 9, Липецк",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",52.616055,39.566234,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://www.youtube.com/channel/UCM4aBRnEiNCf9fQFl2qx2Bg']",90,69,,,79,,,100,2024-08-05 06:52:17
6,sberbank/1120881122,СберБанк,"площадь Мира, 2, Липецк",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",52.591099,39.616180,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://www.youtube.com/channel/UCM4aBRnEiNCf9fQFl2qx2Bg']",94,85,,,91,,,,2024-08-05 06:52:17
7,sberbank/1033305981,СберБанк,"просп. имени 60-летия СССР, 2Б, Липецк",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",52.583948,39.541971,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber', 'https://www.youtube.com/channel/UCM4aBRnEiNCf9fQFl2qx2Bg']",87,74,,,67,,,100,2024-08-05 06:52:17
8,sberbank/1083894086,СберБанк,"ул. А.Г. Стаханова, 41, Липецк",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-14:00, 'sun': выходной, ",52.584107,39.519369,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,62,,,67,100,,89,2024-08-05 06:52:17
9,sberbank/16692066614,СберБанк,"ул. Доватора, 1, Липецк",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",52.595251,39.562829,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/bankdruzey', 'https://www.youtube.com/channel/UCM4aBRnEiNCf9fQFl2qx2Bg']",87,67,,,85,,,100,2024-08-05 06:52:17
