,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ремонт,График работы,load_time
0,sberbank/1064464892,СберБанк,"ул. Жуковского, 38, Майкоп",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",44.611484,40.108215,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,90,94,93,,,2024-08-05 07:26:36
1,sberbank/1014430546,СберБанк,"Краснооктябрьская ул., 24, Майкоп",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-14:00, 'sun': выходной, ",44.607768,40.105357,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,67,50,71,92,20,2024-08-05 07:26:36
2,sberbank/13967076752,СберБанк,"Пролетарская ул., 197, Майкоп",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:00-15:00, 'sun': выходной, ",44.608346,40.110928,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",98,67,79,95,,,2024-08-05 07:26:36
3,sberbank/1101804849,СберБанк,"Пионерская ул., 374Е, Майкоп",,"'mon': выходной, 'tue': 08:00-17:30, 'wed': 08:00-17:30, 'thu': 08:00-17:30, 'fri': 08:00-17:30, 'sat': 08:00-15:00, 'sun': выходной, ",44.609995,40.084778,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",68,77,,,,,2024-08-05 07:26:36
4,sberbank/1039387159,СберБанк,"ул. Димитрова, 4/2, Майкоп",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",44.616026,40.070072,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,90,,,,,2024-08-05 07:26:36
5,sberbank/1131443393,СберБанк,"ул. Чкалова, 65, Майкоп",,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:00-16:30, 'sun': выходной, ",44.610855,40.061376,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,64,77,93,,,2024-08-05 07:26:36
6,sberbank/164789442662,СберБанк,"Батарейная ул., 10Б, Майкоп",,"'mon': выходной, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-15:30, 'sun': выходной, ",44.580321,40.136089,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,84,60,60,,,2024-08-05 07:26:36
7,sberbank/1126772736,СберБанк,"ул. Юннатов, 24, Майкоп",,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной, ",44.622866,40.069874,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 07:26:36
8,sberbank/142995922989,СберБанк,"ул. Димитрова, 4/2, Майкоп",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-16:30, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",44.616026,40.070072,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 07:26:36
9,sberbank/15938685009,СберБанк,"Курджипская ул., 38, посёлок Краснооктябрьский",,"'mon': 08:00-17:00, 'tue': выходной, 'wed': 08:00-17:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",44.576842,40.071312,"3,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 07:26:36
10,sberbank/176656720282,СберБанк,"Первомайская ул., 220, посёлок Тульский",,"'mon': 08:30-16:45, 'tue': 08:30-16:45, 'wed': 08:30-16:45, 'thu': 08:30-16:45, 'fri': 08:30-16:45, 'sat': выходной, 'sun': выходной, ",44.509713,40.178741,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,76,,,90,,2024-08-05 07:26:36
11,sberbank/3058944912,СберБанк,"Шоссейная ул., 42А, посёлок Табачный",,"'mon': выходной, 'tue': 08:00-17:10, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",44.555739,40.092485,"3,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 07:26:36
