,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Кредит,Ремонт,Ипотека,График работы,load_time
0,sberbank/1173987527,СберБанк,"ул. Ленина, 121, Михайловск",www.sberbank.com,"'mon': 08:00-18:30, 'tue': 08:00-18:30, 'wed': 08:00-18:30, 'thu': 08:00-18:30, 'fri': 08:00-18:30, 'sat': 08:00-15:30, 'sun': 09:00-13:00, ",45.131473,42.026664,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",79,50,35,85,36,,,,2024-07-29 07:45:16
1,sberbank/1778903138,СберБанк,"ул. Войкова, 391, Михайловск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-14:30, 'sun': выходной, ",45.126818,42.032217,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,72,80,80,,,,,2024-07-29 07:45:16
2,sberbank/191067855708,СберБанк,"ул. Мира, 286, Ставрополь",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 08:30-15:00, 'sun': выходной, ",45.036828,41.966136,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://vk.com/sber']",84,72,68,100,,87,,,2024-07-29 07:45:16
3,sberbank/1053541612,СберБанк,"Октябрьская ул., 186/1, Ставрополь",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",45.073331,41.940616,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,63,17,100,,,,,2024-07-29 07:45:16
4,sberbank/90922121884,СберБанк,"просп. Карла Маркса, 52, Ставрополь",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",45.048858,41.983717,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,58,,,,,,,2024-07-29 07:45:16
5,sberbank/1548020347,СберБанк,"ул. Ленина, 381, Ставрополь",www.sberbank.com,"'mon': 08:00-19:00, 'tue': 08:00-19:00, 'wed': 08:00-19:00, 'thu': 08:00-19:00, 'fri': 08:00-19:00, 'sat': 10:00-16:00, 'sun': 10:00-14:00, ",45.036311,41.933681,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,66,95,86,60,,57,92,2024-07-29 07:45:16
6,sberbank/1617039246,СберБанк,"Школьная ул., 20, село Пелагиада",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-15:15, 'wed': 09:00-15:15, 'thu': 09:00-15:15, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",45.205599,42.026773,"2,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 07:45:16
7,sberbank/1056019355,СберБанк,"просп. Юности, 7Г, Ставрополь",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-14:00, 'sun': 09:00-12:00, ",45.060593,41.929908,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,70,88,92,,,,,2024-07-29 07:45:16
8,sberbank/1551222679,СберБанк,"ул. Тухачевского, 26/2, Ставрополь",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",45.015843,41.902976,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,32,25,95,,,,,2024-07-29 07:45:16
9,sberbank/1196874648,СберБанк,"Вокзальная ул., 28, Ставрополь",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",45.057123,41.997884,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",79,73,10,,,,,,2024-07-29 07:45:16
