,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,load_time
0,sberbank/1040062100,СберБанк,"Интернациональная ул., 10, Нижневартовск",,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-16:00, 'sun': выходной, ",60.947521,76.591296,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",83,75,2024-08-05 10:57:26
1,sberbank/1016906677,СберБанк,"Спортивная ул., 15, Нижневартовск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-14:30, 'sun': выходной, ",60.940385,76.598833,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",100,93,2024-08-05 10:57:26
2,sberbank/1106820429,СберБанк,"Омская ул., 11, Нижневартовск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",60.938248,76.564283,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,70,2024-08-05 10:57:26
3,sberbank/1009965466,СберБанк,"ул. Дружбы Народов, 28Б, Нижневартовск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",60.934188,76.602093,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",80,67,2024-08-05 10:57:26
4,sberbank/139259542198,СберБанк,"ул. Мира, 27, стр. 2, Нижневартовск",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': выходной, 'sun': выходной, ",60.945489,76.570562,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,75,2024-08-05 10:57:26
5,sberbank/141902538000,СберБанк,"ул. 60 лет Октября, 53, Нижневартовск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-14:00, 'sun': выходной, ",60.925785,76.592751,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,63,2024-08-05 10:57:26
6,sberbank/1142155841,СберБанк,"ул. Нефтяников, 44, Нижневартовск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:30, 'sun': выходной, ",60.937514,76.576267,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,60,2024-08-05 10:57:26
7,sberbank/1225605213,СберБанк,"ул. Ленина, 46, Нижневартовск",,"'mon': 09:00-17:00, 'tue': 09:00-17:00, 'wed': 09:00-17:00, 'thu': 09:00-17:00, 'fri': 09:00-17:00, 'sat': выходной, 'sun': выходной, ",60.933344,76.593452,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,70,2024-08-05 10:57:26
8,sberbank/1127532610,СберБанк,"ул. Энергетиков, 1, п. г. т. Излучинск",,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной, ",60.954725,76.886239,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,75,2024-08-05 10:57:26
9,sberbank/1027734825,СберБанк,"ул. Нефтяников, 33, Мегион",,"'mon': 08:45-18:30, 'tue': 08:45-18:30, 'wed': 08:45-18:30, 'thu': 08:45-18:30, 'fri': 08:45-18:30, 'sat': 09:30-14:00, 'sun': выходной, ",61.030833,76.101704,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,57,2024-08-05 10:57:26
10,sberbank/217272615408,СберБанк,"ул. Нефтяников, 4, Мегион",,"'mon': 09:30-17:45, 'tue': 09:30-17:45, 'wed': 09:30-17:45, 'thu': 09:30-17:45, 'fri': 09:30-17:45, 'sat': выходной, 'sun': выходной, ",61.036367,76.109206,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,80,2024-08-05 10:57:26
