,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,График работы,load_time
0,sberbank/1265382801,СберБанк,"ул. Шахтёров, 16/8, Новомосковск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",54.006776,38.292189,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",88,83,81,,2024-08-05 11:54:13
1,sberbank/1205969648,СберБанк,"ул. Генерала Белова, 5, Новомосковск",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной, ",54.029746,38.315949,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,62,,36,2024-08-05 11:54:13
2,sberbank/1126312852,СберБанк,"Комсомольская ул., 36/14, Новомосковск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.010337,38.291803,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",100,79,,,2024-08-05 11:54:13
3,sberbank/1264848240,СберБанк,"ул. Орджоникидзе, 1, Новомосковск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",54.033326,38.262087,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",52,47,,,2024-08-05 11:54:13
4,sberbank/1080383671,СберБанк,"ул. Мира, 36, Новомосковск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.024002,38.261422,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,67,,,2024-08-05 11:54:13
5,sberbank/1057474909,СберБанк,"ул. Космонавтов, 11, Новомосковск",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной, ",54.011290,38.263784,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,84,20,,2024-08-05 11:54:13
6,sberbank/79421662432,СберБанк,"Школьная ул., 15Б, микрорайон Северо-Задонск, Донской",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.031073,38.392216,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,67,,,2024-08-05 11:54:13
7,sberbank/1226357870,СберБанк,"Октябрьская ул., 44, Донской",www.sberbank.ru,"'mon': 08:45-18:00, 'tue': 08:45-18:00, 'wed': 08:45-18:00, 'thu': 08:45-18:00, 'fri': 08:45-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",53.968109,38.320234,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,46,75,,2024-08-05 11:54:13
8,sberbank/215514308678,СберБанк,"ул. Трегубова, 34, Узловая",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.980972,38.162033,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,81,,,2024-08-05 11:54:13
9,sberbank/76372804831,СберБанк,"Зелёная ул., 25, посёлок Ширинский",,"'mon': выходной, 'tue': 08:30-16:45, 'wed': 08:30-16:45, 'thu': выходной, 'fri': 08:30-16:45, 'sat': 08:15-14:45, 'sun': выходной, ",54.062433,38.360874,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 11:54:13
