,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Кредит,График работы,Ипотека,Ремонт,load_time
0,sberbank/1056997351,СберБанк,"Молодёжная ул., 21, Одинцово",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-17:00, 'sun': выходной, ",55.678438,37.271200,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",78,66,73,79,42,64,,,2024-08-05 13:02:36
1,sberbank/187180115753,СберБанк,"Можайское ш., 71, Одинцово",www.sberbank.ru,"'mon': 10:00-18:30, 'tue': 10:00-18:30, 'wed': 10:00-18:30, 'thu': 10:00-18:30, 'fri': 10:00-18:30, 'sat': 10:30-14:30, 'sun': выходной, ",55.677925,37.281181,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,61,77,100,,,,,2024-08-05 13:02:36
2,sberbank/1136333530,СберБанк,"Вокзальная ул., 2, Одинцово",www.sberbank.ru,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:00-18:30, 'sun': выходной, ",55.672717,37.281881,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",77,41,34,86,,17,,,2024-08-05 13:02:36
3,sberbank/1073746907,СберБанк,"ул. Чикина, 12, Одинцово",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-15:30, 'sun': выходной, ",55.686736,37.290765,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,56,39,83,67,55,61,,2024-08-05 13:02:36
4,sberbank/1089856893,СберБанк,"бул. Любы Новосёловой, 18, Одинцово",www.sberbank.ru,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': 10:30-15:00, 'sun': выходной, ",55.676189,37.259298,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",70,51,40,94,,45,,82,2024-08-05 13:02:36
5,sberbank/1258301698,СберБанк,"ул. Маковского, 16, Одинцово",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",55.664822,37.282779,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,63,57,84,,60,,,2024-08-05 13:02:36
6,sberbank/1151313508,СберБанк,"Можайское ш., 112А, Одинцово",www.sberbank.ru,"'mon': выходной, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-19:00, 'sun': выходной, ",55.685148,37.302848,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",76,44,33,,,45,,,2024-08-05 13:02:36
7,sberbank/1150331545,СберБанк,"Трёхгорная ул., 4, посёлок Трёхгорка",www.sberbank.ru,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной, ",55.695961,37.335681,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,56,31,90,,13,,,2024-08-05 13:02:36
8,sberbank/1038153042,СберБанк,"ул. Скульптора Мухиной, 10, корп. 1, Москва",www.sberbank.ru,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:00-17:00, 'sun': выходной, ",55.640177,37.342275,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,77,66,93,,82,,,2024-08-05 13:02:36
9,sberbank/157502512585,СберБанк,"Москва, Новомосковский административный округ, район Внуково, улица Лётчика Ульянина, 5",,"'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 10:00-17:00, 'sun': выходной, ",55.625903,37.307142,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,58,79,,,,,,2024-08-05 13:02:36
