,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,График работы,Ремонт,load_time
0,sberbank/1177297088,СберБанк,"просп. Победы, 12, Петропавловск-Камчатский",www.sberbank.ru,"'mon': 09:00-17:15, 'tue': 09:00-17:15, 'wed': 09:00-17:15, 'thu': 09:00-17:15, 'fri': 09:00-17:15, 'sat': выходной, 'sun': выходной, ",C53.07089,158.60347,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,79,73,,,,2024-08-05 14:41:17
1,sberbank/13013577674,СберБанк,"ул. Нахимова, 22, жилой район Рыбачий, Вилючинск",www.sberbank.ru,"'mon': выходной, 'tue': 10:45-18:30, 'wed': 10:45-18:30, 'thu': 10:45-18:30, 'fri': 10:45-18:30, 'sat': 10:45-18:30, 'sun': выходной, ",C52.91860,158.51570,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 14:41:17
2,sberbank/1258010263,СберБанк,"Океанская ул., 121/2, Петропавловск-Камчатский",www.sberbank.ru,"'mon': 09:30-17:45, 'tue': 09:30-17:45, 'wed': 09:30-17:45, 'thu': 09:30-17:45, 'fri': 09:30-17:45, 'sat': выходной, 'sun': выходной, ",C52.98215,158.68063,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,83,95,88,46,,2024-08-05 14:41:17
3,sberbank/1181876383,СберБанк,"ул. Мира, 7Б, Вилючинск",www.sberbank.ru,"'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-18:00, 'sat': выходной, 'sun': выходной, ",C52.93285,158.41035,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 14:41:17
4,sberbank/1058519092,СберБанк,"ул. Лукашевского, 2, Петропавловск-Камчатский",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-16:00, 'sun': выходной, ",C53.05906,158.63252,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,64,85,64,,,2024-08-05 14:41:17
5,sberbank/1108946967,СберБанк,"ул. Ларина, 3/1, Петропавловск-Камчатский",www.sberbank.ru,"'mon': выходной, 'tue': 09:15-18:15, 'wed': 09:15-18:15, 'thu': 09:15-18:15, 'fri': 09:15-18:15, 'sat': 10:00-15:30, 'sun': выходной, ",C53.07222,158.64782,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,76,94,,,,2024-08-05 14:41:17
6,sberbank/1079752887,СберБанк,"ул. Беринга, 25, Елизово",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",C53.18506,158.38251,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,67,,,,86,2024-08-05 14:41:17
7,sberbank/1174174888,СберБанк,"ул. Тушканова, 35, Петропавловск-Камчатский",www.sberbank.ru,"'mon': выходной, 'tue': 09:15-18:00, 'wed': 09:15-18:00, 'thu': 09:15-18:00, 'fri': 09:15-18:00, 'sat': 09:30-15:15, 'sun': выходной, ",C53.06371,158.62613,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",100,90,,,,,2024-08-05 14:41:17
8,sberbank/1136648665,СберБанк,"Космический пр., 3А, Петропавловск-Камчатский",www.sberbank.ru,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной, ",C53.05569,158.66264,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,83,,,,,2024-08-05 14:41:17
9,sberbank/1238262598,СберБанк,"Ленинградская ул., 104, Петропавловск-Камчатский",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-16:00, 'sun': выходной, ",C53.03902,158.65925,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,71,90,67,,,2024-08-05 14:41:17
