,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Ипотека,Ремонт,Кредит,load_time
0,sberbank/1007816467,СберБанк,"ул. Чехова, 1, корп. 3, Пушкино",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",56.008792,37.854188,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 15:04:52
1,sberbank/1392554061,СберБанк,"ул. Тургенева, 5, Пушкино",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",56.012617,37.847873,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,71,74,92,38,,,,2024-07-29 15:04:52
2,sberbank/1129812322,СберБанк,"Московский просп., 11А, Пушкино",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:30-15:30, 'sun': выходной, ",56.010845,37.849131,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",84,61,50,67,,74,,,2024-07-29 15:04:52
3,sberbank/81518982420,СберБанк,"ул. Чехова, 33/9, Пушкино",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",56.003779,37.845835,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,63,41,94,,,93,,2024-07-29 15:04:52
4,sberbank/1129094066,СберБанк,"58, микрорайон Серебрянка, Пушкино",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-17:00, 'sun': выходной, ",56.005460,37.872550,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,69,54,,,,91,,2024-07-29 15:04:52
5,sberbank/1135349766,СберБанк,"ул. Островского, 20А, Пушкино",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.014751,37.835818,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 15:04:52
6,sberbank/1044542810,СберБанк,"Пушкинское ш., 1, Пушкино",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.996707,37.863980,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 15:04:52
7,sberbank/1056708824,СберБанк,"Студенческий пр., 2, Ивантеевка",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-15:30, 'sun': выходной, ",55.977410,37.907198,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,63,82,97,77,77,,75,2024-07-29 15:04:52
8,sberbank/1057437267,СберБанк,"Вокзальная ул., 14, микрорайон Заветы Ильича, Пушкино",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",56.043839,37.855069,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 15:04:52
9,sberbank/1026986685,СберБанк,"Степаньковское ш., 17, рабочий посёлок Правдинский",www.sberbank.com,"'mon': выходной, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-17:30, 'sun': выходной, ",56.061565,37.858788,"3,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",70,25,14,,12,,,,2024-07-29 15:04:52
10,sberbank/1059341981,СберБанк,"ул. Толмачёва, 2, Ивантеевка",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",55.966706,37.913163,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,58,36,,14,,,,2024-07-29 15:04:52
11,sberbank/1153685529,СберБанк,"ул. Тихонравова, 36, микрорайон Юбилейный, Королёв",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",55.936757,37.846338,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",85,66,42,87,31,,,,2024-07-29 15:04:52
12,sberbank/232963480833,СберБанк,"Хлебозаводская ул., 30, Ивантеевка",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.971849,37.937409,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 15:04:52
13,sberbank/1045546947,СберБанк,"просп. Космонавтов, 6А, Королёв",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",55.918933,37.867447,,['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 15:04:52
14,sberbank/1228327522,СберБанк,"Фабричная ул., 6, корп. 3, микрорайон Пироговский, Мытищи",www.sberbank.com,"'mon': выходной, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-15:00, 'sun': выходной, ",55.980619,37.742367,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,31,0,,,,,,2024-07-29 15:04:52
15,sberbank/1201572576,СберБанк,"просп. Королёва, 5Д, Королёв",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",55.921869,37.844055,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",73,58,47,95,,,,,2024-07-29 15:04:52
16,sberbank/1228254849,СберБанк,"ул. Грабина, 8Б, Королёв",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.925808,37.820331,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,64,48,92,,,,,2024-07-29 15:04:52
17,sberbank/1040448865,СберБанк,"Новомытищинский просп., 5, корп. 1, Мытищи",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:30, 'sun': выходной, ",55.915685,37.749957,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",75,60,68,91,50,60,,44,2024-07-29 15:04:52
18,sberbank/1192524051,СберБанк,"ул. Гагарина, 12/14, Королёв",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",55.917022,37.805760,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 15:04:52
19,sberbank/1088434062,СберБанк,"Комсомольская ул., 11, Щёлково",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",55.928461,38.000991,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,66,52,74,,69,11,57,2024-07-29 15:04:52
20,sberbank/1055110223,СберБанк,"Советская ул., 40, микрорайон Первомайский, Королёв",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.941707,37.867331,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,72,27,100,,,90,,2024-07-29 15:04:52
21,sberbank/1015728560,СберБанк,"Олимпийский просп., 21, Мытищи",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-15:00, 'sun': выходной, ",55.925107,37.754224,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",73,60,59,93,,,,,2024-07-29 15:04:52
