,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,load_time
0,sberbank/1290485972,СберБанк,"просп. Труда, 12А, Россошь",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-13:30, 'sun': выходной, ",50.196622,39.580887,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,83,100,85,2024-08-05 15:46:00
1,sberbank/149503081047,СберБанк,"площадь Танкистов, 1Д, Россошь",www.sberbank.ru,"'mon': 08:30-17:00, 'tue': 08:30-17:00, 'wed': 08:30-17:00, 'thu': 08:30-17:00, 'fri': 08:30-17:00, 'sat': 08:30-13:00, 'sun': выходной, ",50.184242,39.601834,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 15:46:00
2,sberbank/1232332529,СберБанк,"Пролетарская ул., 74Б, Россошь",www.sberbank.ru,"'mon': 08:00-17:00, 'tue': 08:00-17:00, 'wed': 08:00-17:00, 'thu': 08:00-17:00, 'fri': 08:00-17:00, 'sat': выходной, 'sun': выходной, ",50.197957,39.561320,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 15:46:00
3,sberbank/7050549515,СберБанк,"просп. Труда, 12А, Россошь",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",50.196590,39.581137,"4,6",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,2024-08-05 15:46:00
4,sberbank/1115225217,СберБанк,"ул. Воля, 2, село Подгорное",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",50.186099,39.543380,"3,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 15:46:00
5,sberbank/229510173911,СберБанк,"ул. Мичурина, 1, посёлок Начало",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",50.227661,39.571992,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 15:46:00
6,sberbank/1105388440,СберБанк,"Пролетарская ул., 22, село Морозовка",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",50.146250,39.642725,"3,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 15:46:00
7,sberbank/1130983149,СберБанк,"Пролетарская ул., 6, село Евстратовка",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': 08:00-14:15, 'thu': 08:00-14:15, 'fri': 08:00-14:15, 'sat': выходной, 'sun': выходной, ",50.130021,39.743291,"2,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 15:46:00
8,sberbank/97017180197,СберБанк,"ул. Ленина, 2, село Архиповка",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': 08:00-17:15, 'thu': 08:00-17:15, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",50.215091,39.423680,,['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,2024-08-05 15:46:00
9,sberbank/1215880308,СберБанк,"ул. Ленина, 165А, село Лизиновка",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",50.121890,39.462640,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 15:46:00
10,sberbank/197256589513,СберБанк,"ул. Шевченко, 1А, слобода Шапошниковка",www.sberbank.ru,"'mon': выходной, 'tue': 08:00-17:15, 'wed': выходной, 'thu': выходной, 'fri': 08:00-17:15, 'sat': выходной, 'sun': выходной, ",50.235198,39.376627,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 15:46:00
