,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,load_time
0,sberbank/1642416877,СберБанк,"ул. Островского, 8, Салават",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-14:00, 'sun': выходной, ",53.354025,55.936701,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,66,79,100,2024-08-05 16:11:04
1,sberbank/1042468114,СберБанк,"ул. Гагарина, 9, Салават",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.362339,55.928193,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,70,33,,2024-08-05 16:11:04
2,sberbank/1130369723,СберБанк,"ул. Ленина, 58А, Салават",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-15:00, 'sun': выходной, ",53.344092,55.926226,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank', 'https://www.youtube.com/channel/UCC1AHvtI8Z7w7y7DGCMdZpg']",87,76,60,,2024-08-05 16:11:04
3,sberbank/1220727133,СберБанк,"ул. Ленина, 40, Салават",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.352574,55.925256,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",82,67,,,2024-08-05 16:11:04
4,sberbank/1264442282,СберБанк,"ул. Островского, 61, Салават",www.sberbank.ru,"'mon': 09:30-17:30, 'tue': 09:30-17:30, 'wed': 09:30-17:30, 'thu': 09:30-17:30, 'fri': 09:30-17:30, 'sat': выходной, 'sun': выходной, ",53.340038,55.934400,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank', 'https://www.youtube.com/channel/UCC1AHvtI8Z7w7y7DGCMdZpg']",97,80,70,,2024-08-05 16:11:04
5,sberbank/1217531258,СберБанк,"бул. Салавата Юлаева, 34, Салават",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.340393,55.946932,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank?erid=2VtzqvL9tgA', 'https://vk.com/sberbank']",82,60,,,2024-08-05 16:11:04
6,sberbank/1215840947,СберБанк,"просп. Ленина, 53, Ишимбай",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.455071,56.043160,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,60,,,2024-08-05 16:11:04
7,sberbank/1099749496,СберБанк,"Стахановская ул., 16, Ишимбай",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",53.434289,56.054891,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 16:11:04
8,sberbank/1142628907,СберБанк,"ул. Губкина, 10/1, Ишимбай",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.449833,56.050679,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,67,,,2024-08-05 16:11:04
9,sberbank/1228857339,СберБанк,"ул. Ямилева, 12, д. Корнеевка",,"'mon': выходной, 'tue': 09:00-16:15, 'wed': выходной, 'thu': 09:00-16:15, 'fri': 09:00-16:15, 'sat': выходной, 'sun': выходной, ",53.324766,55.798082,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 16:11:04
10,sberbank/1037099767,СберБанк,"Советская ул., 83, село Зирган",www.sberbank.ru,"'mon': 08:30-16:30, 'tue': 08:30-16:30, 'wed': 08:30-16:30, 'thu': 08:30-16:30, 'fri': 08:30-16:30, 'sat': выходной, 'sun': выходной, ",53.217721,55.919012,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 16:11:04
11,sberbank/1122581405,СберБанк,"ул. Ленина, 20, село Наумовка",www.sberbank.ru,"'mon': 09:00-13:15, 'tue': выходной, 'wed': выходной, 'thu': 09:00-13:15, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.517903,55.915348,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 16:11:04
