,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,load_time
0,sberbank/51286393412,СберБанк,"просп. Мира, 32, Снежинск",www.sberbank.ru,"'mon': 09:00-21:00, 'tue': 09:00-21:00, 'wed': 09:00-21:00, 'thu': 09:00-21:00, 'fri': 09:00-21:00, 'sat': 09:00-21:00, 'sun': 09:00-21:00, ",56.073875,60.751025,,['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/bps.sberbank', 'https://vk.com/sberbank']",2024-08-05 18:28:48
1,sberbank/25111087256,СберБанк,"ул. Строителей, 5, Снежинск",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",56.066911,60.769456,,['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/bps.sberbank', 'https://vk.com/sberbank']",2024-08-05 18:28:48
2,sberbank/73565451224,СберБанк,"ул. Академика Забабахина, 37, Снежинск",www.sberbank.ru,"'mon': 00:00-23:59, 'tue': 00:00-23:59, 'wed': 00:00-23:59, 'thu': 00:00-23:59, 'fri': 00:00-23:59, 'sat': 00:00-23:59, 'sun': 00:00-23:59, ",56.078113,60.761780,,['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/bps.sberbank', 'https://vk.com/sberbank']",2024-08-05 18:28:48
3,sberbank/216353883025,СберБанк,"ул. Академика Забабахина, 1, Снежинск",www.sberbank.ru,"'mon': 09:00-23:00, 'tue': 09:00-23:00, 'wed': 09:00-23:00, 'thu': 09:00-23:00, 'fri': 09:00-23:00, 'sat': 09:00-23:00, 'sun': 09:00-23:00, ",56.079935,60.743976,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",2024-08-05 18:28:48
4,sberbank/1091228687,СберБанк,"просп. Мира, 19, Снежинск",www.sberbank.ru,"'mon': 00:00-23:59, 'tue': 00:00-23:59, 'wed': 00:00-23:59, 'thu': 00:00-23:59, 'fri': 00:00-23:59, 'sat': 00:00-23:59, 'sun': 00:00-23:59, ",56.076220,60.754773,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'http://vk.com/sberbank']",2024-08-05 18:28:48
5,sberbank/1038719568,СберБанк,"ул. Свердлова, 15, Снежинск",www.sberbank.ru,"'mon': 10:00-21:00, 'tue': 10:00-21:00, 'wed': 10:00-21:00, 'thu': 10:00-21:00, 'fri': 10:00-21:00, 'sat': 10:00-21:00, 'sun': 10:00-21:00, ",56.087425,60.731479,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",2024-08-05 18:28:48
6,sberbank/1150955353,СберБанк,"Транспортная ул., 35, Снежинск",www.sberbank.ru,"'mon': 09:00-21:00, 'tue': 09:00-21:00, 'wed': 09:00-21:00, 'thu': 09:00-21:00, 'fri': 09:00-21:00, 'sat': 09:00-21:00, 'sun': 09:00-21:00, ",56.071655,60.737826,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",2024-08-05 18:28:48
7,sberbank/1031750602,СберБанк,"ул. Дзержинского, 39, Снежинск",www.sberbank.ru,"'mon': 09:00-23:00, 'tue': 09:00-23:00, 'wed': 09:00-23:00, 'thu': 09:00-23:00, 'fri': 09:00-23:00, 'sat': 09:00-23:00, 'sun': 09:00-23:00, ",56.082833,60.720507,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",2024-08-05 18:28:48
8,sberbank/1123462860,СберБанк,"ул. Академика Забабахина, 19, Снежинск",www.sberbank.ru,"'mon': 09:00-22:00, 'tue': 09:00-22:00, 'wed': 09:00-22:00, 'thu': 09:00-22:00, 'fri': 09:00-22:00, 'sat': 09:00-22:00, 'sun': 09:00-22:00, ",56.078325,60.756947,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",2024-08-05 18:28:48
9,sberbank/205638463262,,,,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.755863,37.617700,,[],[],2024-08-05 18:28:48
10,sberbank/103497508280,СберБанк,"ул. Ленина, 54, рабочий посёлок Вишневогорск",www.sberbank.ru,"'mon': 00:00-23:59, 'tue': 00:00-23:59, 'wed': 00:00-23:59, 'thu': 00:00-23:59, 'fri': 00:00-23:59, 'sat': 00:00-23:59, 'sun': 00:00-23:59, ",56.003669,60.662971,,['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/bps.sberbank', 'https://vk.com/sberbank']",2024-08-05 18:28:48
11,sberbank/212009938300,СберБанк,"ул. Ленина, 59, Касли",www.sberbank.ru,"'mon': 09:00-22:00, 'tue': 09:00-22:00, 'wed': 09:00-22:00, 'thu': 09:00-22:00, 'fri': 09:00-22:00, 'sat': 09:00-22:00, 'sun': 09:00-22:00, ",55.896500,60.760500,,['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/bps.sberbank', 'https://vk.com/sberbank']",2024-08-05 18:28:48
12,sberbank/181046642067,СберБанк,"ул. Лобашова, 143, Касли",www.sberbank.ru,"'mon': 09:00-23:00, 'tue': 09:00-23:00, 'wed': 09:00-23:00, 'thu': 09:00-23:00, 'fri': 09:00-23:00, 'sat': 09:00-23:00, 'sun': 09:00-23:00, ",55.900177,60.736334,,['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/bps.sberbank', 'https://vk.com/sberbank']",2024-08-05 18:28:48
13,sberbank/29105179034,СберБанк,"ул. Революции, 2, Касли",www.sberbank.ru,"'mon': 05:00-00:00, 'tue': 05:00-00:00, 'wed': 05:00-00:00, 'thu': 05:00-00:00, 'fri': 05:00-00:00, 'sat': 05:00-00:00, 'sun': 05:00-00:00, ",55.895827,60.753981,,['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/bps.sberbank', 'https://vk.com/sberbank']",2024-08-05 18:28:48
