,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Ипотека,Кредит,Ремонт,load_time
0,sberbank/1133996799,СберБанк,"ул. Декабристов, 63, Сочи",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",43.699970,39.587847,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,70,79,100,,,,,2024-08-05 18:49:21
1,sberbank/1254964261,СберБанк,"ул. Горького, 36, микрорайон Центральный, Сочи",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:30, 'sun': 09:00-14:30, ",43.585714,39.725316,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,57,82,98,88,,,,2024-08-05 18:49:21
2,sberbank/1033813552,СберБанк,"Московская ул., 22А, микрорайон Центральный, Сочи",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",43.593856,39.723700,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",79,57,73,94,82,,,,2024-08-05 18:49:21
3,sberbank/1757413563,СберБанк,"ул. Войкова, 2, микрорайон Центральный, Сочи",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.580403,39.720837,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,62,82,100,,85,69,,2024-08-05 18:49:21
4,sberbank/1089989917,СберБанк,"ул. Макаренко, 11, Сочи",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",43.612657,39.741621,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,74,86,95,91,,,,2024-08-05 18:49:21
5,sberbank/1040028977,СберБанк,"Батумское ш., 24А, п. г. т. Дагомыс",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.660135,39.659586,"4,9",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",86,79,85,100,,,,,2024-08-05 18:49:21
6,sberbank/1683038976,СберБанк,"Донская ул., 96, Сочи",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",43.624183,39.720385,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",86,63,70,93,,,,75,2024-08-05 18:49:21
7,sberbank/1030620077,СберБанк,"ул. Воровского, 34, микрорайон Центральный, Сочи",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.589103,39.722361,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",66,50,58,100,,,,,2024-08-05 18:49:21
8,sberbank/1071864113,СберБанк,"Армавирская ул., 100, п. г. т. Дагомыс",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.663298,39.652813,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,70,,100,,,,,2024-08-05 18:49:21
9,sberbank/92598110920,СберБанк,"Дивноморская ул., 17А, микрорайон Бытха, Сочи",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.566683,39.760332,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,78,,85,,,,,2024-08-05 18:49:21
