,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Ремонт,Расположение,График работы,Ипотека,load_time
0,sberbank/1061356240,СберБанк,"ул. Ленина, 33, Хабаровск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",C48.47272,135.07666,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,82,38,73,91,,,2024-07-29 21:51:29
1,sberbank/1019073979,СберБанк,"ул. Гамарника, 12, Хабаровск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C48.46997,135.07717,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,68,83,,,54,,2024-07-29 21:51:29
2,sberbank/1161821910,СберБанк,"ул. Пушкина, 54, Хабаровск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-16:30, 'sun': выходной, ",C48.48110,135.07336,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",87,76,77,,87,,,2024-07-29 21:51:29
3,sberbank/1029932938,СберБанк,"ул. Льва Толстого, 19, корп. 4, Хабаровск",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-16:00, 'sun': выходной, ",C48.48639,135.06854,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,72,74,,90,,,2024-07-29 21:51:29
4,sberbank/1175459995,СберБанк,"ул. Серышева, 42, Хабаровск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-16:00, 'sun': выходной, ",C48.48403,135.06016,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,69,61,,81,,83,2024-07-29 21:51:29
5,sberbank/1027081573,СберБанк,"Краснореченская ул., 209, Хабаровск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-15:30, 'sun': выходной, ",C48.45033,135.10660,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,68,73,,86,40,,2024-07-29 21:51:29
6,sberbank/1048535010,СберБанк,"ул. Шевчука, 29, Хабаровск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C48.45797,135.08921,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,61,48,,,,,2024-07-29 21:51:29
7,sberbank/89500938381,СберБанк,"ул. Карла Маркса, 115, Хабаровск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-16:30, 'sun': выходной, ",C48.50491,135.11064,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,82,88,,,83,,2024-07-29 21:51:29
8,sberbank/90926607388,СберБанк,"Ленинградская ул., 81, Хабаровск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-15:30, 'sun': выходной, ",C48.49584,135.07374,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,80,,,92,,,2024-07-29 21:51:29
9,sberbank/1234187733,СберБанк,"Большая ул., 7, Хабаровск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",C48.49867,135.09614,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,63,,,,,,2024-07-29 21:51:29
