,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,График работы,Расположение,Ипотека,Кредит,Ремонт,load_time
0,sberbank/149578228690,СберБанк,"Центральная ул., 6, корп. 2, микрорайон Подрезково, Химки",www.sberbank.ru,"'mon': выходной, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:30-16:30, 'sun': выходной, ",55.948997,37.330974,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,68,51,31,,,,,2024-08-05 22:10:06
1,sberbank/1345841588,СберБанк,"просп. Мельникова, 2Б, Химки",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:00, 'sun': выходной, ",55.901183,37.407538,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,59,54,,84,,,,2024-08-05 22:10:06
2,sberbank/1147544978,СберБанк,"ул. Кирова, 1А, микрорайон Сходня, Химки",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.950308,37.298904,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,53,54,48,93,,,,2024-08-05 22:10:06
3,sberbank/16181799686,СберБанк,"Соколово-Мещерская ул., 14, Москва",www.sberbank.ru,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-17:00, 'sun': выходной, ",55.896014,37.390047,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",81,65,83,73,86,,,,2024-08-05 22:10:06
4,sberbank/1028449462,СберБанк,"Юбилейный просп., 73, Химки",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-15:30, 'sun': выходной, ",55.897832,37.406954,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",70,57,60,,86,60,58,46,2024-08-05 22:10:06
5,sberbank/1166203872,СберБанк,"ул. Мичурина, 15, микрорайон Сходня, Химки",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.946436,37.300575,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,40,11,13,100,,,,2024-08-05 22:10:06
6,sberbank/1082475419,СберБанк,"ул. Победы, 1/13, Химки",www.sberbank.ru,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-16:30, 'sun': выходной, ",55.899104,37.456280,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",77,43,41,,92,,,,2024-08-05 22:10:06
7,sberbank/1032725977,СберБанк,"Юбилейный просп., 41А, Химки",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-15:30, 'sun': выходной, ",55.890487,37.410789,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,62,33,,,,,85,2024-08-05 22:10:06
8,sberbank/1252924993,СберБанк,"Московская ул., 32, Химки",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.888619,37.443649,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,62,62,44,84,,,,2024-08-05 22:10:06
9,sberbank/1245666277,СберБанк,"Юбилейный просп., 6А, Химки",www.sberbank.ru,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",55.888897,37.428145,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,67,44,29,88,,,82,2024-08-05 22:10:06
