,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Ремонт,Расположение,Ипотека,Кредит,График работы,load_time
0,sberbank/1132255720,СберБанк,"ул. Энтузиастов, 9А, Челябинск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-13:30, 'sun': выходной, ",55.156847,61.376322,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,71,70,,,,,,2024-07-29 22:24:03
1,sberbank/1228243440,СберБанк,"Свердловский просп., 88, Челябинск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",55.152315,61.388836,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://t.me/s/sberbank', 'https://vk.com/sber']",83,55,40,80,90,,,,2024-07-29 22:24:03
2,sberbank/1175344722,СберБанк,"ул. Труда, 160, Челябинск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-14:00, 'sun': выходной, ",55.169411,61.377239,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,68,,,100,59,77,,2024-07-29 22:24:03
3,sberbank/1143655381,СберБанк,"ул. Воровского, 62, Челябинск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.141568,61.374822,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",98,67,86,,100,,,,2024-07-29 22:24:03
4,sberbank/1572348429,СберБанк,"просп. Ленина, 38, Челябинск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-15:30, 'sun': выходной, ",55.161497,61.417456,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",91,71,92,,94,,,,2024-07-29 22:24:03
5,sberbank/1013047405,СберБанк,"просп. Ленина, 55А, Челябинск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",55.159867,61.398044,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",83,68,,,,,,,2024-07-29 22:24:03
6,sberbank/1084628666,СберБанк,"Комсомольский просп., 33, Челябинск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",55.194065,61.351206,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,71,50,,80,,,,2024-07-29 22:24:03
7,sberbank/1114016622,СберБанк,"ул. Чичерина, 33Б, Челябинск",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:30-15:30, 'sun': выходной, ",55.176457,61.301346,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",95,80,84,,100,,,,2024-07-29 22:24:03
8,sberbank/1557752538,СберБанк,"ул. Калинина, 14, Челябинск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.179682,61.397374,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,65,67,,95,,,88,2024-07-29 22:24:03
9,sberbank/1222401382,СберБанк,"Комсомольский просп., 70В, Челябинск",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:30-15:30, 'sun': выходной, ",55.194884,61.318589,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,74,20,,83,76,55,,2024-07-29 22:24:03
