,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,Кредит,load_time
0,sberbank/51395544231,СберБанк,"ул. Ленина, 153А, Череповец",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",59.128514,37.886492,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,52,,,,,2024-07-29 22:40:35
1,sberbank/149786121717,СберБанк,"просп. Победы, 61, Череповец",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",59.130643,37.933878,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,64,96,100,,,2024-07-29 22:40:35
2,sberbank/1024002248,СберБанк,"ул. Металлургов, 2, Череповец",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",59.129331,37.913253,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,69,90,100,,,2024-07-29 22:40:35
3,sberbank/1028702361,СберБанк,"ул. Ленина, 63, Череповец",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",59.124894,37.922937,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,66,83,94,,,2024-07-29 22:40:35
4,sberbank/43531814077,СберБанк,"Ленинградская ул., 2, Череповец",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",59.098491,37.914007,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 22:40:35
5,sberbank/137771226109,СберБанк,"Любецкая ул., 41, Череповец",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:30, 'sun': выходной, ",59.090223,37.901377,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,69,,,,,2024-07-29 22:40:35
6,sberbank/1070694641,СберБанк,"Шекснинский просп., 30, Череповец",www.sberbank.com,"'mon': 09:30-19:30, 'tue': 09:30-19:30, 'wed': 09:30-19:30, 'thu': 09:30-19:30, 'fri': 09:30-19:30, 'sat': выходной, 'sun': выходной, ",59.090856,37.933968,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,77,72,,,,2024-07-29 22:40:35
7,sberbank/1649679833,СберБанк,"Первомайская ул., 25, Череповец",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",59.121661,37.963164,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,62,75,85,47,33,2024-07-29 22:40:35
8,sberbank/1038426723,СберБанк,"Молодёжная ул., 16, Череповец",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",59.144746,37.942143,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",86,52,,85,,,2024-07-29 22:40:35
9,sberbank/6316192104,СберБанк,"просп. Победы, 131, Череповец",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",59.124492,37.977509,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,94,88,100,,,2024-07-29 22:40:35
10,sberbank/1079921806,СберБанк,"просп. Победы, 208А, Череповец",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",59.119703,38.002931,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,55,,100,,,2024-07-29 22:40:35
11,sberbank/1004888542,СберБанк,"ул. Космонавта Беляева, 2, Череповец",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",59.126995,37.984803,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,83,79,100,,,2024-07-29 22:40:35
