,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение,load_time
0,1035785870,СберБанк,"Индустриальная ул., 3А, Шахты",www.sberbank.ru,"'mon': 08:00-17:00, 'tue': 08:00-17:00, 'wed': 08:00-17:00, 'thu': 08:00-17:00, 'fri': 08:00-17:00, 'sat': выходной, 'sun': выходной",47.729508,40.243249,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,93,94,73,47,100,2024-06-22 18:06:47
1,1194680584,СберБанк,"Советская ул., 235, Шахты",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-14:00, 'sun': выходной",47.714188,40.203540,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,89,90,83,81,,2024-06-22 18:06:47
2,1177193543,СберБанк,"просп. Победа Революции, 118, Шахты",www.sberbank.ru,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:30-14:00, 'sun': выходной",47.708620,40.215676,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,79,85,84,89,93,2024-06-22 18:06:47
3,1125474491,СберБанк,"пер. Красный Шахтёр, 68, Шахты",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-16:15, 'sat': выходной, 'sun': выходной",47.708421,40.218505,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,90,91,77,90,94,2024-06-22 18:06:47
4,1013144260,СберБанк,"просп. Ленинского Комсомола, 38, Шахты",www.sberbank.ru,"'mon': 08:00-17:00, 'tue': 08:00-17:00, 'wed': 08:00-17:00, 'thu': 08:00-17:00, 'fri': 08:00-17:00, 'sat': выходной, 'sun': выходной",47.728405,40.289638,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,85,89,66,75,89,2024-06-22 18:06:47
5,1376264504,СберБанк,"ул. Крупской, 57, рабочий посёлок Каменоломни",www.sberbank.ru,"'mon': 08:00-16:30, 'tue': 08:00-16:30, 'wed': 08:00-16:30, 'thu': 08:00-16:30, 'fri': 08:00-16:30, 'sat': 08:00-14:00, 'sun': выходной",47.671990,40.199501,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,86,90,83,90,100,2024-06-22 18:06:47
6,1057055556,СберБанк,"Шоссейный пер., 21, рабочий посёлок Каменоломни",www.sberbank.ru,"'mon': выходной, 'tue': 08:00-13:00,13:30-16:15, 'wed': 08:00-13:00,13:30-16:15, 'thu': 08:00-13:00,13:30-16:15, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.676638,40.214305,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",100,,100,,,,2024-06-22 18:06:47
7,1155555579,СберБанк,"Аллейный бул., 3, Шахты",www.sberbank.ru,"'mon': выходной, 'tue': 08:00-13:00,14:00-16:15, 'wed': 08:00-13:00,14:00-16:15, 'thu': 08:00-13:00,14:00-16:15, 'fri': 08:00-13:00,14:00-16:15, 'sat': выходной, 'sun': выходной",47.696934,40.101289,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,82,80,,,,2024-06-22 18:06:47
8,1017364165,СберБанк,"Садовая ул., 34, Новошахтинск",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.755636,39.934588,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,84,81,70,80,82,2024-06-22 18:06:47
9,1120942084,СберБанк,"Харьковская ул., 131, Новошахтинск",www.sberbank.ru,"'mon': 08:00-17:00, 'tue': 08:00-17:00, 'wed': 08:00-17:00, 'thu': 08:00-17:00, 'fri': 08:00-17:00, 'sat': 08:30-14:00, 'sun': выходной",47.773636,39.928589,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,93,93,83,58,,2024-06-22 18:06:47
10,1251625419,СберБанк,"ул. Соцтруда, 9/1А, рабочий посёлок Горный",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': 08:00-12:00,13:00-17:15, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.817920,40.199815,"2,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-22 18:06:47
11,1116854735,СберБанк,"ул. Комарова, 19, посёлок Красногорняцкий",www.sberbank.ru,"'mon': 08:00-17:15, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.652048,40.198415,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-22 18:06:47
12,1055071013,СберБанк,"Школьная ул., 52, хутор Маркин",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.685870,40.336054,"2,9",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,2024-06-22 18:06:47
13,1249058514,СберБанк,"ул. Ленина, 1, посёлок Новозарянский",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.671171,40.430557,"3,8",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,2024-06-22 18:06:47
14,1045497545,СберБанк,"ул. Фрунзе, 7, хутор Киреевка",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': 09:00-17:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.773030,40.387950,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-22 18:06:47
15,1257775779,СберБанк,"Центральная ул., 61, хутор Красный Луч",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': 08:15-15:12, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.662457,40.345603,"3,8",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,2024-06-22 18:06:47
16,1068542997,СберБанк,"ул. Калинина, 2А, хутор Красный Кут",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",47.691390,40.031175,"3,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-22 18:06:47
