,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,График работы,Расположение,Ипотека,Кредит,Ремонт,load_time
0,sberbank/1138759404,СберБанк,"Юбилейная ул., 13, д. Медвежьи Озёра",www.sberbank.com,"'mon': выходной, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-15:00, 'sun': выходной, ",55.865632,37.987274,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,44,19,27,,,,,2024-07-30 10:14:54
1,sberbank/1179595960,СберБанк,"ул. Беляева, 29, Щёлково",www.sberbank.com,"'mon': выходной, 'tue': 08:45-18:00, 'wed': 08:45-18:00, 'thu': 08:45-18:00, 'fri': 08:45-18:00, 'sat': 08:30-14:00, 'sun': выходной, ",55.885090,38.078525,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,,31,21,,,,,2024-07-30 10:14:54
2,sberbank/182606697288,СберБанк,"6, посёлок Биокомбината",www.sberbank.com,"'mon': выходной, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 08:30-14:00, 'sun': выходной, ",55.915165,38.111691,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,7,27,,,,,,2024-07-30 10:14:54
3,sberbank/95915342913,СберБанк,"28, микрорайон Гагарина, Балашиха",www.sberbank.com,"'mon': выходной, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-15:30, 'sun': выходной, ",55.823768,37.928946,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",78,70,40,36,92,,,,2024-07-30 10:14:54
4,sberbank/1044542810,СберБанк,"Пушкинское ш., 1, Пушкино",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.996707,37.863980,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,65,32,,80,,,,2024-07-30 10:14:54
5,sberbank/239733005998,СберБанк,"Пролетарский просп., 1-1А, Щёлково",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",55.913636,37.993257,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",89,49,48,27,,,,,2024-07-30 10:14:54
6,sberbank/1045546947,СберБанк,"просп. Космонавтов, 6А, Королёв",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",55.918933,37.867447,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",72,60,65,38,94,50,38,,2024-07-30 10:14:54
7,sberbank/1055110223,СберБанк,"Советская ул., 40, микрорайон Первомайский, Королёв",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.941707,37.867331,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,72,27,,100,,,90,2024-07-30 10:14:54
8,sberbank/1088434062,СберБанк,"Комсомольская ул., 11, Щёлково",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",55.928461,38.000991,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,66,52,,74,69,57,11,2024-07-30 10:14:54
9,sberbank/1176770067,СберБанк,"Полевая ул., 3, Фрязино",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",55.950555,38.055447,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",92,70,100,,,,,,2024-07-30 10:14:54
10,sberbank/1088728391,СберБанк,"ул. Орджоникидзе, 40, дачный посёлок Загорянский",www.sberbank.com,"'mon': выходной, 'tue': 08:00-16:30, 'wed': 08:00-16:30, 'thu': 08:00-16:30, 'fri': 08:00-16:30, 'sat': 08:00-13:45, 'sun': выходной, ",55.900895,37.947469,"3,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,,7,,,,,,2024-07-30 10:14:54
11,sberbank/1154187338,СберБанк,"Чкаловская ул., 3, Щёлково",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.904902,38.043599,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",86,58,38,40,100,,,,2024-07-30 10:14:54
12,sberbank/232963480833,СберБанк,"Хлебозаводская ул., 30, Ивантеевка",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.971849,37.937409,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,59,74,43,95,,,,2024-07-30 10:14:54
