,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,Кредит,График работы,Ремонт,load_time
0,sberbank/1246081141,СберБанк,"ул. Ломоносова, 21, Энгельс",,"'mon': 08:00-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-14:00, 'sun': выходной, ",51.472004,46.144695,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,80,52,91,,,,,2024-08-05 23:43:45
1,sberbank/1266781516,СберБанк,"ул. Марины Расковой, 12, Энгельс",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",51.479342,46.149169,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,83,90,58,,,,,2024-08-05 23:43:45
2,sberbank/1085204776,СберБанк,"просп. Фридриха Энгельса, 11А, Энгельс",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-15:00, 'sun': выходной, ",51.482814,46.132856,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,69,71,87,80,67,,,2024-08-05 23:43:45
3,sberbank/1013531796,СберБанк,"просп. Строителей, 12, Энгельс",,"'mon': 08:00-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-13:00, 'sun': выходной, ",51.476801,46.129810,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,42,36,94,,,,,2024-08-05 23:43:45
4,sberbank/1161017577,СберБанк,"ул. Тельмана, 26, Энгельс",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.487743,46.123055,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",80,64,77,93,,,,,2024-08-05 23:43:45
5,sberbank/1117440216,СберБанк,"площадь Свободы, 14, Энгельс",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",51.497770,46.124106,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,80,83,100,,,,,2024-08-05 23:43:45
6,sberbank/36077115938,СберБанк,"ул. имени А.М. Горького, 43, Саратов",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",51.533120,46.030789,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",80,61,38,79,89,50,70,,2024-08-05 23:43:45
7,sberbank/1026124151,СберБанк,"ул. имени В.И. Чапаева, 19/27, Саратов",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-14:30, 'sun': выходной, ",51.524973,46.016093,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,80,77,94,,,,,2024-08-05 23:43:45
8,sberbank/1084908866,СберБанк,"Московская ул., 152А, Саратов",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-15:00, 'sun': выходной, ",51.538298,46.015670,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,60,67,88,70,,55,,2024-08-05 23:43:45
9,sberbank/150423214147,СберБанк,"9, микрорайон Энгельс-19, 3-й квартал, рабочий посёлок Приволжский",,"'mon': 08:00-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-13:30, 'sun': выходной, ",51.407160,46.045476,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,54,,,,,,,2024-08-05 23:43:45
10,sberbank/1232477855,СберБанк,"ул. имени Н.Г. Чернышевского, 190/198, Саратов",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.529714,46.054563,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,55,68,100,,,62,,2024-08-05 23:43:45
11,sberbank/1623650106,СберБанк,"ул. имени Н.И. Вавилова, 1/7, Саратов",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",51.533350,46.015775,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",81,68,65,100,,,,,2024-08-05 23:43:45
12,sberbank/1064332937,СберБанк,"Усть-Курдюмская ул., 3, Саратов",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",51.570368,46.066866,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,56,64,90,,,,,2024-08-05 23:43:45
13,sberbank/1031016506,СберБанк,"2-я Садовая ул., уч23А, Саратов",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",51.520652,46.001971,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",77,59,88,92,,,,,2024-08-05 23:43:45
14,sberbank/1022761070,СберБанк,"ул. имени Н.Г. Чернышевского, 19, Саратов",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной, ",51.510631,45.984939,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",85,63,35,100,,,50,83,2024-08-05 23:43:45
15,sberbank/93809395572,СберБанк,"Большая Горная ул., 245/265, Саратов",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",51.543321,46.025713,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,71,69,95,,,,,2024-08-05 23:43:45
